line,trade_id,symbol,entry,exit,year,policy_id,entry_close,exit_close,ret
C,C00001,510880,2014-10-24,2014-12-22,2014,same_day_trend_m00_d1,1.844,2.631,0.4267895878524943
C,C00002,159902,2014-12-24,2015-03-02,2014,same_day_trend_m00_d1,2.543,3.135,0.2327959103421155
C,C00003,510880,2015-08-25,2015-10-30,2015,same_day_trend_m00_d1,2.354,2.75,0.1682242990654205
C,C00004,159902,2016-12-05,2017-02-22,2016,same_day_trend_m00_d1,3.286,3.18,-0.032258064516129
C,C00005,510880,2017-02-22,2017-10-17,2017,same_day_trend_m05_d20,2.755,3.061,0.1110707803992741
C,C00006,159930,2017-10-18,2017-12-13,2017,same_day_trend_m05_d20,0.835,0.835,0.0
C,C00007,510880,2017-12-29,2018-01-31,2017,same_day_trend_m05_d20,3.102,3.225,0.0396518375241781
C,C00008,159902,2018-02-01,2018-04-09,2018,same_day_trend_m00_d1,3.487,3.494,0.0020074562661314
C,C00009,512660,2018-06-14,2018-08-10,2018,same_day_trend_m00_d1,0.711,0.682,-0.0407876230661039
C,C00010,510880,2018-09-18,2018-12-21,2018,same_day_trend_m00_d1,2.676,2.59,-0.032137518684604
C,C00011,159930,2018-12-24,2019-02-28,2018,same_day_trend_m00_d1,0.672,0.766,0.1398809523809523
C,C00012,510880,2019-04-29,2019-07-01,2019,same_day_trend_m00_d1,2.847,2.826,-0.0073761854583772
C,C00013,159930,2019-08-06,2019-09-17,2019,same_day_trend_m00_d1,0.676,0.743,0.0991124260355029
C,C00014,512660,2019-11-18,2020-01-15,2019,same_day_trend_m00_d1,0.719,0.786,0.0931849791376913
C,C00015,512950,2020-02-03,2020-03-30,2020,same_day_trend_m00_d1,0.873,0.9,0.0309278350515465
C,C00016,159902,2020-06-01,2020-07-30,2020,same_day_trend_m00_d1,3.56,4.404,0.2370786516853933
C,C00017,159902,2020-07-31,2021-01-22,2020,same_day_trend_m00_d1,4.478,5.193,0.1596694953104063
C,C00018,159930,2021-01-28,2021-04-01,2021,same_day_trend_m00_d1,0.646,0.69,0.068111455108359
C,C00019,512880,2021-04-30,2021-07-01,2021,same_day_trend_m00_d1,1.031,1.077,0.0446168768186228
C,C00020,159930,2021-08-03,2021-09-08,2021,same_day_trend_m00_d1,0.745,1.008,0.353020134228188
C,C00021,512400,2021-09-28,2021-12-08,2021,same_day_trend_m00_d1,1.4,1.446,0.0328571428571429
C,C00022,512660,2022-01-10,2022-03-22,2022,same_day_trend_m00_d1,1.323,1.142,-0.1368102796674225
C,C00023,159930,2022-07-12,2022-09-07,2022,same_day_trend_m00_d1,1.092,1.314,0.2032967032967032
C,C00024,516970,2022-09-28,2022-12-13,2022,same_day_trend_m00_d1,1.036,1.139,0.0994208494208495
C,C00025,516970,2022-12-29,2023-03-16,2022,same_day_trend_m00_d1,1.051,1.255,0.1941008563273072
C,C00026,515210,2023-04-26,2023-07-03,2023,same_day_trend_m00_d1,1.284,1.266,-0.0140186915887851
C,C00027,159768,2023-07-03,2023-08-28,2023,same_day_trend_m00_d1,0.742,0.8,0.0781671159029651
C,C00028,159611,2023-09-26,2023-12-12,2023,same_day_trend_m00_d1,0.875,0.877,0.0022857142857142
C,C00029,159996,2023-12-18,2024-03-05,2023,same_day_trend_m00_d1,1.033,1.135,0.0987415295256535
C,C00030,512980,2024-07-18,2024-11-21,2024,same_day_trend_m00_d1,0.588,0.792,0.3469387755102042
C,C00031,159902,2024-12-18,2025-02-26,2024,same_day_trend_m00_d1,3.356,3.553,0.0587008343265793
C,C00032,512660,2025-04-03,2025-06-06,2025,same_day_trend_m00_d1,1.02,1.047,0.026470588235294
C,C00033,159996,2025-07-29,2025-09-24,2025,same_day_trend_m00_d1,1.39,1.549,0.114388489208633
C,C00034,512660,2025-10-23,2025-12-31,2025,same_day_trend_m00_d1,1.178,1.373,0.1655348047538201
C,C00035,510880,2026-01-20,2026-01-29,2026,same_day_trend_m10_d10,3.217,3.166,-0.0158532794529064
C,C00036,159887,2026-01-30,2026-04-07,2026,same_day_trend_m10_d10,1.26,1.285,0.0198412698412697
C,C00037,159996,2026-04-08,2026-06-11,2026,same_day_trend_m10_d10,1.446,1.466,0.0138312586445366
C,C00038,159825,2026-06-12,2026-07-22,2026,same_day_trend_m10_d10,0.705,0.714,0.0127659574468084
S,S00001,510880,2014-10-24,2014-12-19,2014,same_day_no_chase_00,1.844,2.59,0.4045553145336225
