test,line,default_policy,window,min_years,margin,mode,keep_base,base_policy_id,final,trades,win,avg,positive_year_rate,max_dd,sum_ret
vetted_guard_5y,C,same_day_trend_m00_d1,5,5,0.05,base_relative,True,same_day_trend_m00_d1,201532.99996097927,38,0.7894736842105263,0.0882619294509388,0.9230769230769231,-0.13681027966742254,3.3539533191356745
vetted_guard_5y,S,same_day_no_chase_00,5,5,0.05,base_relative,True,same_day_no_chase_00,149989.34029461912,44,0.7727272727272727,0.06811391291811812,0.8461538461538461,-0.12698412698412687,2.9970121683971973
vetted_guard_5y,D,same_day_trend_m00_d1,5,5,0.05,base_relative,True,same_day_trend_m00_d1,656342.4981681213,1303,0.6646201074443592,0.04960418251482127,1.0,-0.18567242452795885,64.63424981681212
vetted_guard_5y,R,same_day_trend_m00_d1,5,5,0.05,base_relative,True,same_day_trend_m00_d1,224012.04885114715,44,0.7727272727272727,0.07870286258019137,0.9230769230769231,-0.13681027966742254,3.46292595352842
vetted_guard_3y,C,same_day_trend_m00_d1,3,3,0.05,base_relative,True,same_day_trend_m00_d1,209530.0633488588,38,0.7894736842105263,0.08932218221987973,0.9230769230769231,-0.13681027966742254,3.3942429243554297
vetted_guard_3y,S,same_day_no_chase_00,3,3,0.05,base_relative,True,same_day_no_chase_00,126552.05972585687,44,0.75,0.06417019566026774,0.7692307692307693,-0.1472564987020375,2.823488609051781
vetted_guard_3y,D,same_day_trend_m00_d1,3,3,0.05,base_relative,True,same_day_trend_m00_d1,650469.7725259949,1303,0.6638526477359938,0.04915347448395969,1.0,-0.18567242452795885,64.04697725259948
vetted_guard_3y,R,same_day_trend_m00_d1,3,3,0.05,base_relative,True,same_day_trend_m00_d1,232901.1069937751,44,0.7727272727272727,0.07961853542609489,0.9230769230769231,-0.13681027966742254,3.503215558748175
vetted_guard_3y_win,C,same_day_trend_m00_d1,3,3,0.05,win_first,True,same_day_trend_m00_d1,209530.0633488588,38,0.7894736842105263,0.08932218221987973,0.9230769230769231,-0.13681027966742254,3.3942429243554297
vetted_guard_3y_win,S,same_day_no_chase_00,3,3,0.05,win_first,True,same_day_no_chase_00,126552.05972585687,44,0.75,0.06417019566026774,0.7692307692307693,-0.1472564987020375,2.823488609051781
vetted_guard_3y_win,D,same_day_trend_m00_d1,3,3,0.05,win_first,True,same_day_trend_m00_d1,650469.7725259949,1303,0.6638526477359938,0.04915347448395969,1.0,-0.18567242452795885,64.04697725259948
vetted_guard_3y_win,R,same_day_trend_m00_d1,3,3,0.05,win_first,True,same_day_trend_m00_d1,232901.1069937751,44,0.7727272727272727,0.07961853542609489,0.9230769230769231,-0.13681027966742254,3.503215558748175
