date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,source_file
2022-10-17,560080,,1.055,1.067,1.03,1.059,358663300.0,376785160.0,,,sina:560080
2022-10-18,560080,,1.059,1.1,1.04,1.099,139240500.0,150036576.0,,,sina:560080
2022-10-19,560080,,1.093,1.093,1.067,1.079,56409000.0,60818389.0,,,sina:560080
2022-10-20,560080,,1.068,1.098,1.065,1.083,35653300.0,38666045.0,,,sina:560080
2022-10-21,560080,,1.087,1.099,1.073,1.096,28783900.0,31366435.0,,,sina:560080
2022-10-24,560080,,1.098,1.114,1.073,1.082,18859100.0,20625667.0,,,sina:560080
2022-10-25,560080,,1.071,1.081,1.042,1.073,9615100.0,10163344.0,,,sina:560080
2022-10-26,560080,,1.065,1.115,1.063,1.114,21534500.0,23648387.0,,,sina:560080
2022-10-27,560080,,1.115,1.165,1.092,1.161,16549800.0,18698025.0,,,sina:560080
2022-10-28,560080,,1.14,1.141,1.101,1.134,29785000.0,33487990.0,,,sina:560080
2022-10-31,560080,,1.118,1.134,1.081,1.13,17831500.0,19718027.0,,,sina:560080
2022-11-01,560080,,1.13,1.156,1.107,1.154,25492600.0,28753405.0,,,sina:560080
2022-11-02,560080,,1.146,1.194,1.13,1.158,29012400.0,33979432.0,,,sina:560080
2022-11-03,560080,,1.143,1.165,1.13,1.146,16049100.0,18408659.0,,,sina:560080
2022-11-04,560080,,1.145,1.173,1.142,1.164,14750400.0,17081338.0,,,sina:560080
2022-11-07,560080,,1.164,1.173,1.154,1.163,8436200.0,9795390.0,,,sina:560080
2022-11-08,560080,,1.166,1.177,1.14,1.166,6820000.0,7920631.0,,,sina:560080
2022-11-09,560080,,1.166,1.204,1.16,1.198,14692300.0,17523049.0,,,sina:560080
2022-11-10,560080,,1.25,1.25,1.19,1.199,11139700.0,13420668.0,,,sina:560080
2022-11-11,560080,,1.215,1.241,1.173,1.176,21834500.0,26473522.0,,,sina:560080
2022-11-14,560080,,1.152,1.27,1.152,1.257,19796700.0,24255031.0,,,sina:560080
2022-11-15,560080,,1.255,1.288,1.221,1.285,20525300.0,25527245.0,,,sina:560080
2022-11-16,560080,,1.285,1.285,1.225,1.233,37803500.0,46861790.0,,,sina:560080
2022-11-17,560080,,1.225,1.27,1.216,1.267,35194600.0,44199528.0,,,sina:560080
2022-11-18,560080,,1.255,1.292,1.255,1.283,23510500.0,30108949.0,,,sina:560080
2022-11-21,560080,,1.273,1.3,1.252,1.29,17265000.0,22095422.0,,,sina:560080
2022-11-22,560080,,1.287,1.304,1.236,1.244,25352000.0,31967018.0,,,sina:560080
2022-11-23,560080,,1.24,1.242,1.199,1.214,15341700.0,18584669.0,,,sina:560080
2022-11-24,560080,,1.218,1.253,1.213,1.251,21240100.0,26251553.0,,,sina:560080
2022-11-25,560080,,1.24,1.242,1.2,1.235,20590300.0,25124321.0,,,sina:560080
2022-11-28,560080,,1.21,1.256,1.21,1.238,16171800.0,20058844.0,,,sina:560080
2022-11-29,560080,,1.23,1.275,1.22,1.263,22060800.0,27835564.0,,,sina:560080
2022-11-30,560080,,1.254,1.273,1.243,1.255,14669100.0,18415843.0,,,sina:560080
2022-12-01,560080,,1.28,1.285,1.224,1.245,23596100.0,29321564.0,,,sina:560080
2022-12-02,560080,,1.232,1.255,1.232,1.24,12066300.0,14972218.0,,,sina:560080
2022-12-05,560080,,1.253,1.28,1.241,1.265,24205500.0,30552976.0,,,sina:560080
2022-12-06,560080,,1.266,1.283,1.234,1.243,33696700.0,42522141.0,,,sina:560080
2022-12-07,560080,,1.236,1.278,1.219,1.275,26875900.0,33797531.0,,,sina:560080
2022-12-08,560080,,1.278,1.304,1.265,1.286,42283900.0,54243265.0,,,sina:560080
2022-12-09,560080,,1.286,1.293,1.268,1.285,23012600.0,29504042.0,,,sina:560080
2022-12-12,560080,,1.299,1.34,1.29,1.333,35221000.0,46539286.0,,,sina:560080
2022-12-13,560080,,1.34,1.348,1.3,1.322,50454000.0,66216626.0,,,sina:560080
2022-12-14,560080,,1.319,1.319,1.266,1.272,58045000.0,74273139.0,,,sina:560080
2022-12-15,560080,,1.252,1.278,1.252,1.272,27770400.0,35222187.0,,,sina:560080
2022-12-16,560080,,1.267,1.297,1.264,1.289,25455800.0,32785821.0,,,sina:560080
