source,symbol,exists,rows,start,end,duplicate_dates,invalid_rows,bad_ohlc,review_jumps,hard_jumps,passed,reason
C_existing,159666,True,849,2023-02-13,2026-08-11,0,0,0,0,0,True,ok
C_existing,512660,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
C_existing,516970,True,1238,2021-07-05,2026-08-11,0,0,0,0,0,True,ok
C_existing,512950,True,1833,2019-01-18,2026-08-11,0,0,0,0,0,True,ok
C_existing,560080,True,928,2022-10-17,2026-08-11,0,0,0,0,0,True,ok
C_existing,159992,True,1537,2020-04-10,2026-08-11,0,0,0,0,0,True,ok
C_existing,159883,True,1280,2021-04-30,2026-08-11,0,0,0,0,0,True,ok
C_existing,516750,True,1156,2021-11-05,2026-08-11,0,0,0,0,0,True,ok
C_existing,512400,True,2169,2017-09-01,2026-08-11,0,0,0,0,0,True,ok
C_existing,159611,True,1112,2022-01-07,2026-08-11,0,0,0,0,0,True,ok
C_existing,159930,True,3131,2013-09-16,2026-08-11,0,0,0,0,0,True,ok
C_existing,515210,True,1565,2020-03-02,2026-08-11,0,0,0,0,0,True,ok
C_existing,159902,True,4032,2010-01-04,2026-08-11,0,0,0,0,0,True,ok
C_existing,510880,True,4754,2007-01-18,2026-08-11,0,0,0,0,0,True,ok
C_existing,515790,True,1368,2020-12-18,2026-08-11,0,0,0,0,0,True,ok
C_existing,159870,True,1321,2021-03-03,2026-08-11,0,0,0,0,0,True,ok
C_existing,159663,True,921,2022-10-26,2026-08-11,0,0,0,0,0,True,ok
C_existing,159565,True,598,2024-02-26,2026-08-11,0,0,0,0,0,True,ok
C_existing,159755,True,1245,2021-06-24,2026-08-11,0,0,0,0,0,True,ok
C_existing,512980,True,2075,2018-01-19,2026-08-11,0,0,0,0,0,True,ok
C_existing,159825,True,1361,2020-12-29,2026-08-11,0,0,0,0,0,True,ok
C_existing,159996,True,1555,2020-03-16,2026-08-11,0,0,0,0,0,True,ok
C_existing,159766,True,1224,2021-07-23,2026-08-11,0,0,0,0,0,True,ok
C_existing,515170,True,1351,2021-01-13,2026-08-11,0,0,0,0,0,True,ok
C_existing,159811,True,1529,2020-04-22,2026-08-11,0,0,0,0,0,True,ok
C_existing,159813,True,1509,2020-05-25,2026-08-11,0,0,0,0,0,True,ok
C_existing,512720,True,1693,2019-08-16,2026-08-11,0,0,0,0,0,True,ok
C_existing,159768,True,1089,2022-02-16,2026-08-11,0,0,0,0,0,True,ok
C_existing,512880,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
C_existing,159887,True,1269,2021-05-20,2026-08-11,0,0,0,0,0,True,ok
S_staging,159666,True,849,2023-02-13,2026-08-11,0,0,0,0,0,True,ok
S_staging,512660,True,2430,2016-08-08,2026-08-11,0,0,0,0,0,True,ok
S_staging,516970,True,1238,2021-07-05,2026-08-11,0,0,0,0,0,True,ok
S_staging,512950,True,1833,2019-01-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,560080,True,928,2022-10-17,2026-08-11,0,0,0,0,0,True,ok
S_staging,159992,True,1537,2020-04-10,2026-08-11,0,0,0,0,0,True,ok
S_staging,159883,True,1280,2021-04-30,2026-08-11,0,0,0,0,0,True,ok
S_staging,516750,True,1156,2021-11-05,2026-08-11,0,0,0,0,0,True,ok
S_staging,512400,True,2169,2017-09-01,2026-08-11,0,0,0,0,0,True,ok
S_staging,159611,True,1112,2022-01-07,2026-08-11,0,0,0,0,0,True,ok
S_staging,159930,True,3131,2013-09-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,515210,True,1565,2020-03-02,2026-08-11,0,0,0,1,0,True,ok
S_staging,159902,True,4032,2010-01-04,2026-08-11,0,0,0,0,0,True,ok
S_staging,510880,True,4754,2007-01-18,2026-08-11,0,0,0,1,0,True,ok
S_staging,515790,True,1368,2020-12-18,2026-08-11,0,0,0,0,0,True,ok
S_staging,159870,True,1321,2021-03-03,2026-08-11,0,0,0,0,0,True,ok
S_staging,159663,True,921,2022-10-26,2026-08-11,0,0,0,0,0,True,ok
S_staging,159565,True,598,2024-02-26,2026-08-11,0,0,0,0,0,True,ok
S_staging,159755,True,1245,2021-06-24,2026-08-11,0,0,0,0,0,True,ok
S_staging,512980,True,2075,2018-01-19,2026-08-11,0,0,0,0,0,True,ok
S_staging,159825,True,1361,2020-12-29,2026-08-11,0,0,0,0,0,True,ok
S_staging,159996,True,1555,2020-03-16,2026-08-11,0,0,0,0,0,True,ok
S_staging,159766,True,1224,2021-07-23,2026-08-11,0,0,0,0,0,True,ok
S_staging,515170,True,1351,2021-01-13,2026-08-11,0,0,0,0,0,True,ok
S_staging,159811,True,1529,2020-04-22,2026-08-11,0,0,0,0,0,True,ok
