strategy_id,buy_low,sell_high,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule
PBS_b25_s90_00000,0.25,0.9,2个月,日K,KDJ_D+KDJ_J+RSI6+DIF+EMV,5/5,15日K,KD+KDJ_K+RSI6+DIF+VOL,5/5,40,仅最大持有期
PBS_b25_s90_00002,0.25,0.9,2个月,日K,KDJ_D+KDJ_J+RSI6+DIF+EMV,5/5,15日K,KD+KDJ_K+RSI6+DIF+VOL,5/5,40,反向+止损10%
PBS_b25_s90_00009,0.25,0.9,2个月,日K,KDJ_D+RSI6+DIF+EMV+LON,5/5,15日K,KD+KDJ_K+RSI6+DIF+VOL,5/5,40,仅最大持有期
PBS_b25_s90_00045,0.25,0.9,2个月,周K,KD+DIF+VOL,3/3,周K,KD+KDJ_K+VOL,3/3,40,仅最大持有期
PBS_b25_s90_00090,0.25,0.9,2个月,日K,KD+KDJ_D+DIF+LON,4/4,日K,EMV+VOL+AMOUNT,3/3,40,仅最大持有期
PBS_b25_s90_00091,0.25,0.9,2个月,日K,KD+KDJ_D+DIF+LON,4/4,日K,EMV+VOL+AMOUNT,3/3,40,反向信号提前退出
PBS_b25_s90_00117,0.25,0.9,2个月,日K,KD+KDJ_J+DIF+LON,4/4,日K,EMV+VOL+AMOUNT,3/3,40,仅最大持有期
PBS_b25_s90_00118,0.25,0.9,2个月,日K,KD+KDJ_J+DIF+LON,4/4,日K,EMV+VOL+AMOUNT,3/3,40,反向信号提前退出
PBS_b25_s90_00119,0.25,0.9,2个月,日K,KD+KDJ_J+DIF+LON,4/4,日K,EMV+VOL+AMOUNT,3/3,40,反向+止损10%
PBS_b25_s90_00128,0.25,0.9,2个月,日K,KD+DIF+LON,3/3,日K,EMV+VOL+AMOUNT,3/3,40,反向+止损10%
PBS_b25_s90_00131,0.25,0.9,2个月,日K,KD+DIF+LON,3/3,日K,EMV+LON+VOL+AMOUNT,4/4,40,反向+止损10%
PBS_b25_s90_00135,0.25,0.9,2个月,日K,KD+KDJ_J+DIF+EMV,4/4,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00144,0.25,0.9,2个月,日K,KD+DIF+EMV,3/3,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00153,0.25,0.9,2个月,日K,KD+KDJ_J+RSI6+DIF+EMV,5/5,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00162,0.25,0.9,2个月,日K,KD+RSI6+DIF+EMV,4/4,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00171,0.25,0.9,2个月,日K,KD+KDJ_J+DIF+EMV+VOL,5/5,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00191,0.25,0.9,2个月,月K,KD+RSI6+DIF+EMV,4/4,15日K,KD+KDJ_K+RSI6+EMV+VOL,5/5,40,反向+止损10%
PBS_b25_s90_00243,0.25,0.9,2个月,15日K,KD+KDJ_J+RSI6+DIF+VOL,5/5,15日K,KD+KDJ_D+RSI6+LON+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00250,0.25,0.9,2个月,15日K,KD+KDJ_J+RSI6+DIF+VOL,5/5,15日K,KD+RSI6+LON+AMOUNT,4/4,40,反向信号提前退出
PBS_b25_s90_00254,0.25,0.9,2个月,15日K,KD+KDJ_J+RSI6+LON+VOL,5/5,15日K,KD+KDJ_D+RSI6+LON+AMOUNT,5/5,40,反向+止损10%
PBS_b25_s90_00272,0.25,0.9,2个月,周K,KD+RSI6+DIF+EMV+VOL,5/5,周K,KD+KDJ_K+RSI6+EMV,4/4,40,反向+止损10%
PBS_b25_s90_00281,0.25,0.9,2个月,周K,KD+RSI6+DIF+EMV+AMOUNT,5/5,周K,KD+KDJ_K+RSI6+EMV,4/4,40,反向+止损10%
PBS_b25_s90_00288,0.25,0.9,2个月,周K,KD+RSI6+EMV+LON+VOL,5/5,周K,KD+KDJ_K+RSI6+EMV,4/4,40,仅最大持有期
PBS_b25_s90_00290,0.25,0.9,2个月,周K,KD+RSI6+EMV+LON+VOL,5/5,周K,KD+KDJ_K+RSI6+EMV,4/4,40,反向+止损10%
PBS_b25_s90_00315,0.25,0.9,2个月,月K,KD+KDJ_D+LON+VOL,4/4,月K,KDJ_D+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
PBS_b25_s90_00351,0.25,0.9,2个月,月K,KD+KDJ_D+EMV+VOL,4/4,月K,KDJ_D+RSI6+DIF+EMV+AMOUNT,5/5,40,仅最大持有期
