line,symbol,latest_date,rows,is_stale
C,159565,2026-08-11,598,False
C,159611,2026-08-11,1112,False
C,159663,2026-08-11,921,False
C,159666,2026-08-11,849,False
C,159755,2026-08-11,1245,False
C,159766,2026-08-11,1224,False
C,159768,2026-08-11,1089,False
C,159811,2026-08-11,1529,False
C,159813,2026-08-11,1509,False
C,159825,2026-08-11,1361,False
C,159870,2026-08-11,1321,False
C,159883,2026-08-11,1280,False
C,159887,2026-08-11,1269,False
C,159902,2026-08-11,4032,False
C,159930,2026-08-11,3131,False
C,159992,2026-08-11,1537,False
C,159996,2026-08-11,1555,False
C,510880,2026-08-11,4754,False
C,512400,2026-08-11,2169,False
C,512660,2026-08-11,2430,False
C,512720,2026-08-11,1693,False
C,512880,2026-08-11,2430,False
C,512950,2026-08-11,1833,False
C,512980,2026-08-11,2075,False
C,515170,2026-08-11,1351,False
C,515210,2026-08-11,1565,False
C,515790,2026-08-11,1368,False
C,516750,2026-08-11,1156,False
C,516970,2026-08-11,1238,False
C,560080,2026-08-11,928,False
S,159565,2026-08-11,598,False
S,159611,2026-08-11,1112,False
S,159616,2026-08-11,972,False
S,159663,2026-08-11,921,False
S,159666,2026-08-11,849,False
S,159755,2026-08-11,1245,False
S,159766,2026-08-11,1224,False
S,159768,2026-08-11,1089,False
S,159811,2026-08-11,1529,False
S,159813,2026-08-11,1509,False
S,159825,2026-08-11,1361,False
S,159851,2026-08-11,1309,False
S,159852,2026-08-11,1332,False
S,159870,2026-08-11,1321,False
S,159883,2026-08-11,1280,False
S,159887,2026-08-11,1269,False
S,159902,2026-08-11,4032,False
S,159915,2026-08-11,3561,False
S,159930,2026-08-11,3131,False
S,159941,2026-08-11,2693,False
S,159954,2026-08-11,2041,False
S,159992,2026-08-11,1537,False
S,159996,2026-08-11,1555,False
S,161226,2026-08-11,2666,False
S,161715,2026-08-11,2176,False
S,162411,2026-08-11,3294,False
S,164701,2026-08-11,3426,False
S,501018,2026-08-11,2457,False
S,501059,2026-08-11,1739,False
S,501225,2026-08-11,806,False
S,510050,2026-08-11,4032,False
S,510300,2026-08-11,3453,False
S,510500,2026-08-11,3256,False
S,510880,2026-08-11,4754,False
S,511010,2026-08-11,3252,False
S,511260,2026-08-11,2174,False
S,512010,2026-08-11,3110,False
S,512100,2026-08-11,2372,False
S,512400,2026-08-11,2169,False
S,512660,2026-08-11,2430,False
S,512690,2026-08-11,647,False
S,512720,2026-08-11,1693,False
S,512880,2026-08-11,2430,False
S,512890,2026-08-11,1832,False
S,512950,2026-08-11,1833,False
S,512980,2026-08-11,2075,False
S,513030,2026-08-11,2897,False
S,513050,2026-08-11,2321,False
S,513060,2026-08-11,1303,False
S,513500,2026-08-11,3055,False
S,513520,2026-08-11,1731,False
S,513580,2026-08-11,1264,False
S,513600,2026-08-11,2804,False
S,515030,2026-08-11,1563,False
S,515170,2026-08-11,1351,False
S,515210,2026-08-11,1565,False
S,515790,2026-08-11,1368,False
S,516750,2026-08-11,1156,False
S,516970,2026-08-11,1238,False
S,518880,2026-08-11,3170,False
S,560080,2026-08-11,928,False
S,588000,2026-08-11,1392,False
