source,category,symbol,display_name,entry_date,exit_date,ret,cash_before,cash_after,param_id,selected_year,selected_score,caliber,buy_low,sell_high,strategy_id,signal_date,entry_close,exit_close,return,win,hold_days,buy_target,buy_frequency,buy_combo,buy_threshold,sell_frequency,sell_combo,sell_threshold,max_hold,exit_rule,entry_year,train_score,selected_for_year,selector_score_func,entry_dt,exit_dt,portfolio_weight,applied_return,equity,priority,mode,hold,next_entry_date,new_exit_date,new_ret,exit_changed,recent_high_count,decision_date,same_day_rotation_cap,selected_recent_days,selected_delay_days,selected_candidate,cash_after_new,source_type,idle_days,ma,mom,year,exit_extended,exit_state_value,control_rule
主策略,宽基/风格指数,510880,红利ETF,2014-10-27,2014-12-22,0.4377049180327867,,1437.7049180327867,,2014,,profit_best_ema25_style,0.25,0.9,PBS_b25_s90_00144,2014-10-24,1.83,2.631,0.4371299510589685,True,40.0,2个月,日K,KD+DIF+EMV,3/3,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40.0,仅最大持有期,2014.0,0.2182543549366142,2014.0,sortino_trade,2014-10-27,2014-12-22,1.0,0.4371299510589685,1437.1299510589686,1000,,,2014-12-25,2014-12-22,0.4371299510589685,False,0.0,,False,0.0,0.0,baseline,1437.1299510589686,,,,,2014,,,
主策略,宽基/风格指数,159902,中小板ETF,2014-12-25,2015-03-02,0.2222222222222221,,1757.1948998178505,,2014,,profit_best_ema25_style,0.25,0.9,PBS_b25_s90_00144,2014-12-24,2.565,3.135,0.2217334310915597,True,40.0,2个月,日K,KD+DIF+EMV,3/3,15日K,KDJ_K+RSI6+DIF+EMV+AMOUNT,5/5,40.0,仅最大持有期,2014.0,0.2182543549366142,2014.0,sortino_trade,2014-12-25,2015-03-02,1.0,0.2217334310915597,1755.7897060317189,1000,,,2015-03-04,2015-03-02,0.2217334310915597,False,0.0,,False,0.0,0.0,baseline,1755.7897060317189,,,,,2014,,,
主策略,宽基/风格指数,510880,红利ETF,2015-08-26,2015-10-30,0.1588706278971765,2911.073200805029,2036.3615568896284,red_ma_idle60_hold10_ma60_mom20,2015,1.0445061561457305,,,,,,2.373,2.75,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,2015-11-05,2015-10-30,0.1584071723371296,False,0.0,,False,0.0,0.0,baseline,2865.958984319384,,,,,2015,,,
主策略,宽基/风格指数,159902,中小板ETF,2016-12-06,2017-02-08,-0.0635644768856447,3404.116393041448,1906.9212997759023,red_ma_idle60_hold10_ma60_mom20,2016,1.4641735417438413,,,,,,3.288,3.079,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,2017-02-17,2017-02-08,-0.0639389761950284,False,0.0,,False,0.0,0.0,baseline,3074.768572238617,,,,,2016,,,
空仓补偿_red_ma,,510880,红利ETF,2017-02-23,2017-04-24,-0.0058351568198395,,1895.7941149486176,red_ma_i10_h40_ma60_m20,2017,,,,,,,2.742,2.726,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2017-02-22 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2017,,,
空仓补偿_red_ma,,510880,红利ETF,2017-04-26,2017-06-26,0.0584795321637425,,2006.6592678695893,red_ma_i10_h40_ma60_m20,2017,,,,,,,2.736,2.896,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2017-04-25 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2017,,,
空仓补偿_red_ma,,510880,红利ETF,2017-06-28,2017-08-23,0.03288335064036,,2072.644948190673,red_ma_i10_h40_ma60_m20,2017,,,,,,,2.889,2.984,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2017-06-27 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2017,,,
空仓补偿_red_ma,,510880,红利ETF,2017-08-25,2017-10-19,0.0181638044914136,,2110.2920658097246,red_ma_i10_h40_ma60_m20,2017,,,,,,,3.028,3.083,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2017-08-24 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2017,,,
主策略,周期资源/公用事业,159930,能源ETF,2017-10-19,2017-12-14,0.0024038461538462,3711.286671391402,2115.364883275613,red_ma_idle60_hold10_ma60_mom20,2017,0.91526013056203,,,,,,0.832,0.834,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,10.0,2018-02-02,2017-12-14,0.002002964791657,False,0.0,,False,0.0,0.0,baseline,3568.3326152042587,,,,,2017,,,
空仓补偿_red_ma,,510880,红利ETF,2018-01-02,2018-02-02,0.0336828725770577,,2186.6164490929687,red_ma_i10_h40_ma60_m20,2017,,,,,,,3.147,3.253,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2017-12-29 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2018,,,
主策略,宽基/风格指数,159902,中小板ETF,2018-02-02,2018-04-10,0.0074095183813052,3418.807754543493,2202.818223865387,rotate_ma_mom_idle60_hold10_ma60_mom20,2018,0.6000474643893678,,,,,,3.509,3.535,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2018-06-15,2018-04-10,0.007006635150599,False,0.0,,False,0.0,0.0,baseline,3593.3346199349776,,,,,2018,,,
主策略,军工/基建/交通/央企,512660,军工ETF,2018-06-15,2018-08-13,0.0028860028860029,3442.7620931296183,2209.1755636168027,rotate_ma_mom_idle60_hold10_ma60_mom20,2018,0.6000474643893678,,,,,,0.693,0.695,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2018-12-25,2018-08-13,0.0024849286996857,False,0.0,,False,0.0,0.0,baseline,3602.2638002596286,,,,,2018,,,
空仓补偿_red_ma,,510880,红利ETF,2018-09-19,2018-11-22,-0.0335669494651419,,2135.020279113251,red_ma_i10_h40_ma60_m20,2018,,,,,,,2.711,2.62,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2018-09-18 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2018,,,
空仓补偿_red_ma,,510880,红利ETF,2018-12-04,2018-12-25,-0.0260475651189128,,2079.408199362849,red_ma_i10_h40_ma60_m20,2018,,,,,,,2.649,2.58,,,,,,,,,,,,,,,,,,,,,,100,red_ma,40.0,,,,,,2018-12-03 00:00:00,,,,,,空仓补偿,10.0,60.0,20.0,2018,,,
主策略,周期资源/公用事业,159930,能源ETF,2018-12-25,2019-02-28,0.1536144578313252,3306.0397610892423,2398.835362517985,rotate_ma_mom_idle60_hold10_ma60_mom20,2018,0.6000474643893678,,,,,,0.664,0.766,,,,,,,,,,,,,,,,,,,,,,1000,rotate_ma_mom,10.0,2019-04-30,2019-02-28,0.1531531043188954,False,0.0,,False,0.0,0.0,baseline,4153.961683844973,,,,,2018,,,
主策略,宽基/风格指数,510880,红利ETF,2019-04-30,2019-07-01,-0.0167014613778705,2712.439237429796,2358.7713063590213,red_ma_idle60_hold40_ma40_mom20,2019,0.1511950856931461,,,,,,2.874,2.826,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,40.0,2019-08-07,2019-07-01,-0.0170947021451659,False,0.0,,False,0.0,0.0,baseline,4082.950946137211,,,,,2019,,,
主策略,周期资源/公用事业,159930,能源ETF,2019-08-07,2019-09-17,0.0974889217134415,2666.0708965790723,2588.7253775845684,red_ma_idle60_hold40_ma40_mom20,2019,0.1511950856931461,,,,,,0.677,0.743,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,40.0,2019-11-19,2019-09-17,0.0970500139263137,False,0.0,,False,0.0,0.0,baseline,4479.201392320283,,,,,2019,,,
主策略,军工/基建/交通/央企,512660,军工ETF,2019-11-19,2020-01-15,0.0752393980848153,2924.813114220611,2783.4995168009177,red_ma_idle60_hold40_ma40_mom20,2019,0.1511950856931461,,,,,,0.731,0.786,,,,,,,,,,,,,,,,,,,,,,1000,red_ma,40.0,2020-02-04,2020-01-15,0.0748093883275329,False,0.0,,False,0.0,0.0,baseline,4814.287708675597,,,,,2019,,,
主策略,军工/基建/交通/央企,512950,央企改革ETF,2020-02-04,2020-03-31,0.0044792833146696,3745.541274584339,2795.967599742915,rotate_mom_idle60_hold10_ma0_mom40,2020,0.2757952733825237,,,,,,0.893,0.897,,,,,,,,,,,,,,,,,,,,,,1000,rotate_mom,10.0,2020-04-02,2020-03-31,0.0040775719436181,False,0.0,,False,0.0,0.0,baseline,4833.918313164998,,,,,2020,,,
空仓补偿_rotate_mom,,159902,中小板ETF,2020-06-02,2020-07-30,0.2391671356218345,,3464.671161864884,rotate_mom_i40_h40_ma0_m20,2020,,,,,,,3.554,4.404,,,,,,,,,,,,,,,,,,,,,,100,rotate_mom,40.0,,,,,,2020-06-01 00:00:00,,,,,,空仓补偿,40.0,0.0,20.0,2020,,,
空仓补偿_rotate_mom,,159902,中小板ETF,2020-08-03,2020-09-11,-0.074803149606299,,3205.502846607275,rotate_mom_i40_h40_ma0_m20,2020,,,,,,,4.572,4.23,,,,,,,,,,,,,,,,,,,,,,100,rotate_mom,40.0,,,,,,2020-07-31 00:00:00,,,,,,空仓补偿,40.0,0.0,20.0,2020,,,
主策略,宽基/风格指数,159902,中小板ETF,2020-09-11,2020-11-16,0.067612293144208,4509.644203355122,3422.2342447466795,rotate_mom_idle60_hold10_ma0_mom40,2020,0.2757952733825237,,,,,,4.23,4.516,,,,,,,,,,,,,,,,,,,,,,1000,rotate_mom,10.0,2020-11-19,2020-11-16,0.0671853336188552,False,0.0,,False,0.0,0.0,baseline,6161.158797972696,,,,,2020,,,
