year,threshold,positives,signals,true_positive,target,window
2018,0.012331392702797242,33,63,33,is_low,3
2019,0.012331392702797242,40,84,39,is_low,3
2020,0.01977252163059054,61,96,59,is_low,3
2021,0.016916516286763935,99,173,98,is_low,3
2022,0.0188751207987333,143,263,143,is_low,3
2023,0.016916516286763935,152,259,151,is_low,3
2024,0.05080987921076363,131,224,126,is_low,3
2025,0.048682355279165805,162,241,156,is_low,3
2026,0.0310948354360898,66,145,66,is_low,3
2018,0.012331392702797242,33,63,33,is_low,5
2019,0.012331392702797242,40,84,39,is_low,5
2020,0.012331392702797242,61,104,61,is_low,5
2021,0.012331392702797242,99,175,98,is_low,5
2022,0.0188751207987333,143,263,143,is_low,5
2023,0.0188751207987333,152,258,151,is_low,5
2024,0.0188751207987333,131,235,129,is_low,5
2025,0.048682355279165805,162,241,156,is_low,5
2026,0.027081236762068316,66,147,66,is_low,5
2018,0.012331392702797242,33,63,33,is_low,all
2019,0.012331392702797242,40,84,39,is_low,all
2020,0.012331392702797242,61,104,61,is_low,all
2021,0.012331392702797242,99,175,98,is_low,all
2022,0.012331392702797242,143,265,143,is_low,all
2023,0.0188751207987333,152,258,151,is_low,all
2024,0.0188751207987333,131,235,129,is_low,all
2025,0.0188751207987333,162,248,160,is_low,all
2026,0.0188751207987333,66,148,66,is_low,all
2018,0.019010374980001483,37,55,36,is_high,3
2019,0.027449857918715476,26,60,26,is_high,3
2020,0.027449857918715476,57,87,55,is_high,3
2021,0.03168475547662016,90,153,87,is_high,3
2022,0.03873983006002104,136,189,130,is_high,3
2023,0.03251459364156121,143,213,142,is_high,3
2024,0.03251459364156121,116,197,115,is_high,3
2025,0.03251459364156121,141,286,141,is_high,3
2026,0.03421689868579498,78,126,78,is_high,3
2018,0.019010374980001483,37,55,36,is_high,5
2019,0.03168475547662016,26,60,26,is_high,5
2020,0.027449857918715476,57,87,55,is_high,5
2021,0.03168475547662016,90,153,87,is_high,5
2022,0.03168475547662016,136,191,132,is_high,5
2023,0.03168475547662016,143,213,142,is_high,5
2024,0.03251459364156121,116,197,115,is_high,5
2025,0.03251459364156121,141,286,141,is_high,5
2026,0.03251459364156121,78,126,78,is_high,5
2018,0.019010374980001483,37,55,36,is_high,all
2019,0.03168475547662016,26,60,26,is_high,all
2020,0.027449857918715476,57,87,55,is_high,all
2021,0.03168475547662016,90,153,87,is_high,all
2022,0.03168475547662016,136,191,132,is_high,all
2023,0.03168475547662016,143,213,142,is_high,all
2024,0.03168475547662016,116,197,115,is_high,all
2025,0.03168475547662016,141,286,141,is_high,all
2026,0.03168475547662016,78,126,78,is_high,all
