year,version,trades,wins,loss_or_flat,win_rate,avg_trade,sum_ret,pnl_if_100_each,avg_win,avg_loss_or_flat,min_trade,max_trade,pf
2019,v2_original_repriced,178,139,39,0.7808988764044944,0.03505542501174946,6.239865652091403,623.9865652091403,0.0558030560728093,-0.03889126005202797,-0.0986301369863013,0.1946902654867257,5.11394629456054
2020,v2_original_repriced,80,63,17,0.7875,0.10905058516410952,8.724046813128762,872.4046813128762,0.1485152933865884,-0.03720098060154747,-0.0633104500381388,0.4071370640713705,14.794776804360497
2021,v2_original_repriced,225,139,86,0.6177777777777778,0.035249349288371847,7.931103589883666,793.1103589883666,0.08586500444026762,-0.04655967473620389,-0.2151376146788991,0.2546333601933923,2.9807297900725884
2022,v2_original_repriced,227,117,110,0.5154185022026432,0.014400328329301897,3.2688745307515306,326.8874530751531,0.08280287987164794,-0.058355112856647996,-0.1715425531914893,0.3584686774941996,1.5092448584865483
2023,v2_original_repriced,242,128,114,0.5289256198347108,0.014095236545646492,3.411047244046451,341.1047244046451,0.05715294042628201,-0.03425025553085654,-0.1273584905660376,0.2248995983935742,1.8736129581889507
2024,v2_original_repriced,242,150,92,0.6198347107438017,0.061298339646281286,14.834198194400072,1483.4198194400071,0.12726987127483885,-0.046263940182888694,-0.1557377049180328,0.3397435897435896,4.485247561801427
2025,v2_original_repriced,243,140,103,0.5761316872427984,0.031981028199900195,7.771389852575748,777.1389852575747,0.08931290563450855,-0.045945795497625716,-0.1880616174582799,0.7168044077134987,2.642160857180285
2026,v2_original_repriced,76,33,43,0.4342105263157895,-0.003076128909133765,-0.23378579709416614,-23.378579709416613,0.0754972994893416,-0.0633766669823823,-0.1710063335679099,0.1623563218390806,0.914213238703429
2019,v2_tp_guard,178,139,39,0.7808988764044944,0.03505542501174946,6.239865652091403,623.9865652091403,0.0558030560728093,-0.03889126005202797,-0.0986301369863013,0.1946902654867257,5.11394629456054
2020,v2_tp_guard,80,68,12,0.85,0.10021482926807099,8.01718634144568,801.7186341445679,0.12428691867866667,-0.03619367739197111,-0.0633104500381388,0.2558895207148659,19.458993667643878
2021,v2_tp_guard,225,143,82,0.6355555555555555,0.04131949497837342,9.29688637013402,929.6886370134021,0.0921632633207922,-0.047347076643161796,-0.2151376146788991,0.2457695406929894,3.394586341726961
2022,v2_tp_guard,227,125,102,0.5506607929515418,0.027734035086420736,6.295625964617507,629.5625964617507,0.10017426068876702,-0.0610407511909644,-0.1715425531914893,0.3584686774941996,2.011157660714716
2023,v2_tp_guard,242,129,113,0.5330578512396694,0.015310551728245638,3.7051535182354445,370.51535182354445,0.05886646168871317,-0.034412566722199604,-0.1273584905660376,0.1807647740440323,1.9528196327992033
2024,v2_tp_guard,242,150,92,0.6198347107438017,0.06472203873377924,15.662733373574575,1566.2733373574574,0.13279343913600225,-0.046263940182888694,-0.1557377049180328,0.3189655172413792,4.679909260077425
2025,v2_tp_guard,243,141,102,0.5802469135802469,0.025964120222061113,6.30928121396085,630.928121396085,0.0782823734402175,-0.04635817099127272,-0.1880616174582799,0.3361921097770155,2.3342997977148743
2026,v2_tp_guard,76,37,39,0.4868421052631579,0.01233696354842583,0.9376092296803631,93.76092296803631,0.09522653840277755,-0.0663018638774976,-0.1710063335679099,0.1931034482758622,1.3626031139021406
