symbol,source_file,rows,start,end
159565,C:\Users\10619\Desktop\gsqh\C\raw\etf\159565.csv,596,2024-02-26,2026-08-07
159611,C:\Users\10619\Desktop\gsqh\C\raw\etf\159611.csv,1110,2022-01-07,2026-08-07
159663,C:\Users\10619\Desktop\gsqh\C\raw\etf\159663.csv,919,2022-10-26,2026-08-07
159666,C:\Users\10619\Desktop\gsqh\C\raw\etf\159666.csv,847,2023-02-13,2026-08-07
159755,C:\Users\10619\Desktop\gsqh\C\raw\etf\159755.csv,1243,2021-06-24,2026-08-07
159766,C:\Users\10619\Desktop\gsqh\C\raw\etf\159766.csv,1222,2021-07-23,2026-08-07
159768,C:\Users\10619\Desktop\gsqh\C\raw\etf\159768.csv,1087,2022-02-16,2026-08-07
159811,C:\Users\10619\Desktop\gsqh\C\raw\etf\159811.csv,1527,2020-04-22,2026-08-07
159813,C:\Users\10619\Desktop\gsqh\C\raw\etf\159813.csv,1507,2020-05-25,2026-08-07
159825,C:\Users\10619\Desktop\gsqh\C\raw\etf\159825.csv,1359,2020-12-29,2026-08-07
159851,C:\Users\10619\Desktop\gsqh\S\raw\etf\159851.csv,1307,2021-03-19,2026-08-07
159852,C:\Users\10619\Desktop\gsqh\S\raw\etf\159852.csv,1330,2021-02-09,2026-08-07
159870,C:\Users\10619\Desktop\gsqh\C\raw\etf\159870.csv,1319,2021-03-03,2026-08-07
159883,C:\Users\10619\Desktop\gsqh\C\raw\etf\159883.csv,1278,2021-04-30,2026-08-07
159887,C:\Users\10619\Desktop\gsqh\C\raw\etf\159887.csv,1267,2021-05-20,2026-08-07
159902,C:\Users\10619\Desktop\gsqh\C\raw\etf\159902.csv,4030,2010-01-04,2026-08-07
159930,C:\Users\10619\Desktop\gsqh\C\raw\etf\159930.csv,3129,2013-09-16,2026-08-07
159992,C:\Users\10619\Desktop\gsqh\C\raw\etf\159992.csv,1535,2020-04-10,2026-08-07
159996,C:\Users\10619\Desktop\gsqh\C\raw\etf\159996.csv,1553,2020-03-16,2026-08-07
161226,C:\Users\10619\Desktop\gsqh\S\raw\etf\161226.csv,2664,2015-08-17,2026-08-07
162411,C:\Users\10619\Desktop\gsqh\S\raw\etf\162411.csv,3292,2012-06-08,2026-08-07
164701,C:\Users\10619\Desktop\gsqh\S\raw\etf\164701.csv,3424,2012-03-01,2026-08-07
501018,C:\Users\10619\Desktop\gsqh\S\raw\etf\501018.csv,2455,2016-06-28,2026-08-07
510500,C:\Users\10619\Desktop\gsqh\S\raw\etf\510500.csv,3254,2013-03-15,2026-08-07
510880,C:\Users\10619\Desktop\gsqh\C\raw\etf\510880.csv,4752,2007-01-18,2026-08-07
512400,C:\Users\10619\Desktop\gsqh\C\raw\etf\512400.csv,2167,2017-09-01,2026-08-07
512660,C:\Users\10619\Desktop\gsqh\C\raw\etf\512660.csv,2428,2016-08-08,2026-08-07
512720,C:\Users\10619\Desktop\gsqh\C\raw\etf\512720.csv,1691,2019-08-16,2026-08-07
512880,C:\Users\10619\Desktop\gsqh\C\raw\etf\512880.csv,2428,2016-08-08,2026-08-07
512890,C:\Users\10619\Desktop\gsqh\S\raw\etf\512890.csv,1830,2019-01-18,2026-08-07
512950,C:\Users\10619\Desktop\gsqh\C\raw\etf\512950.csv,1831,2019-01-18,2026-08-07
512980,C:\Users\10619\Desktop\gsqh\C\raw\etf\512980.csv,2073,2018-01-19,2026-08-07
515170,C:\Users\10619\Desktop\gsqh\C\raw\etf\515170.csv,1349,2021-01-13,2026-08-07
515210,C:\Users\10619\Desktop\gsqh\C\raw\etf\515210.csv,1563,2020-03-02,2026-08-07
515790,C:\Users\10619\Desktop\gsqh\C\raw\etf\515790.csv,1366,2020-12-18,2026-08-07
516750,C:\Users\10619\Desktop\gsqh\C\raw\etf\516750.csv,1154,2021-11-05,2026-08-07
516970,C:\Users\10619\Desktop\gsqh\C\raw\etf\516970.csv,1236,2021-07-05,2026-08-07
518880,C:\Users\10619\Desktop\gsqh\S\raw\etf\518880.csv,3168,2013-07-29,2026-08-07
560080,C:\Users\10619\Desktop\gsqh\C\raw\etf\560080.csv,926,2022-10-17,2026-08-07
