date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,amplitude,change
2021-03-29,513060,恒生医疗ETF,0.995,1.003,0.981,0.983,1646198.0,163457883.0,-1.7,1.52,2.2,-0.017
2021-03-30,513060,恒生医疗ETF,0.994,1.028,0.994,1.022,1392669.0,141482760.0,3.97,1.28,3.46,0.039
2021-03-31,513060,恒生医疗ETF,1.025,1.027,1.0,1.013,315858.0,31980734.0,-0.88,0.29,2.64,-0.009
2021-04-01,513060,恒生医疗ETF,1.018,1.047,1.018,1.044,391152.0,40490221.0,3.06,0.36,2.86,0.031
2021-04-02,513060,恒生医疗ETF,1.045,1.045,1.036,1.039,172974.0,17975434.0,-0.48,0.16,0.86,-0.005
2021-04-06,513060,恒生医疗ETF,1.037,1.045,1.034,1.041,76757.0,7994543.0,0.19,0.07,1.06,0.002
2021-04-07,513060,恒生医疗ETF,1.042,1.05,1.023,1.033,175253.0,18094346.0,-0.77,0.16,2.59,-0.008
2021-04-08,513060,恒生医疗ETF,1.033,1.053,1.026,1.051,239192.0,24928130.0,1.74,0.22,2.61,0.018
2021-04-09,513060,恒生医疗ETF,1.051,1.054,1.023,1.028,229587.0,23723290.0,-2.19,0.21,2.95,-0.023
2021-04-12,513060,恒生医疗ETF,1.027,1.036,1.008,1.01,163287.0,16639447.0,-1.75,0.15,2.72,-0.018
2021-04-13,513060,恒生医疗ETF,1.011,1.032,1.01,1.015,137134.0,14004034.0,0.5,0.13,2.18,0.005
2021-04-14,513060,恒生医疗ETF,1.026,1.034,1.019,1.031,130364.0,13382686.0,1.58,0.12,1.48,0.016
2021-04-15,513060,恒生医疗ETF,1.029,1.036,1.014,1.023,90651.0,9262127.0,-0.78,0.08,2.13,-0.008
2021-04-16,513060,恒生医疗ETF,1.032,1.035,1.019,1.022,164321.0,16836878.0,-0.1,0.15,1.56,-0.001
2021-04-19,513060,恒生医疗ETF,1.023,1.056,1.017,1.052,203523.0,21308763.0,2.94,0.19,3.82,0.03
2021-04-20,513060,恒生医疗ETF,1.044,1.055,1.041,1.051,160095.0,16816022.0,-0.1,0.15,1.33,-0.001
2021-04-21,513060,恒生医疗ETF,1.048,1.055,1.034,1.054,176333.0,18495672.0,0.29,0.16,2.0,0.003
2021-04-22,513060,恒生医疗ETF,1.062,1.071,1.049,1.069,165231.0,17544008.0,1.42,0.15,2.09,0.015
2021-04-23,513060,恒生医疗ETF,1.069,1.108,1.069,1.1,343176.0,37722468.0,2.9,0.32,3.65,0.031
2021-04-26,513060,恒生医疗ETF,1.11,1.129,1.099,1.1,451530.0,50367460.0,0.0,0.42,2.73,0.0
2021-04-27,513060,恒生医疗ETF,1.099,1.114,1.091,1.113,285681.0,31578679.0,1.18,0.26,2.09,0.013
2021-04-28,513060,恒生医疗ETF,1.114,1.125,1.106,1.123,212072.0,23724270.0,0.9,0.2,1.71,0.01
2021-04-29,513060,恒生医疗ETF,1.125,1.13,1.11,1.116,269886.0,30170552.0,-0.62,0.25,1.78,-0.007
2021-04-30,513060,恒生医疗ETF,1.116,1.119,1.102,1.108,169114.0,18758386.0,-0.72,0.16,1.52,-0.008
2021-05-06,513060,恒生医疗ETF,1.1,1.108,1.054,1.075,301847.0,32416441.0,-2.98,0.28,4.87,-0.033
2021-05-07,513060,恒生医疗ETF,1.074,1.088,1.056,1.056,205922.0,22023581.0,-1.77,0.19,2.98,-0.019
2021-05-10,513060,恒生医疗ETF,1.066,1.092,1.066,1.076,234749.0,25360005.0,1.89,0.22,2.46,0.02
2021-05-11,513060,恒生医疗ETF,1.067,1.077,1.037,1.065,317308.0,33393409.0,-1.02,0.29,3.72,-0.011
2021-05-12,513060,恒生医疗ETF,1.065,1.074,1.055,1.073,293230.0,31164432.0,0.75,0.27,1.78,0.008
2021-05-13,513060,恒生医疗ETF,1.063,1.09,1.06,1.074,372834.0,40183129.0,0.09,0.34,2.8,0.001
2021-05-14,513060,恒生医疗ETF,1.079,1.088,1.058,1.085,551741.0,59219110.0,1.02,0.51,2.79,0.011
2021-05-17,513060,恒生医疗ETF,1.089,1.109,1.089,1.105,249698.0,27545800.0,1.84,0.23,1.84,0.02
2021-05-18,513060,恒生医疗ETF,1.101,1.127,1.101,1.119,224738.0,25107658.0,1.27,0.21,2.35,0.014
2021-05-19,513060,恒生医疗ETF,1.128,1.128,1.116,1.116,62530.0,6997579.0,-0.27,0.06,1.07,-0.003
2021-05-20,513060,恒生医疗ETF,1.117,1.136,1.112,1.117,240462.0,26950353.0,0.09,0.22,2.15,0.001
2021-05-21,513060,恒生医疗ETF,1.122,1.143,1.122,1.142,224534.0,25480234.0,2.24,0.21,1.88,0.025
2021-05-24,513060,恒生医疗ETF,1.15,1.158,1.109,1.135,351233.0,39520593.0,-0.61,0.32,4.29,-0.007
2021-05-25,513060,恒生医疗ETF,1.145,1.162,1.144,1.152,353140.0,40639498.0,1.5,0.33,1.59,0.017
2021-05-26,513060,恒生医疗ETF,1.157,1.157,1.138,1.151,282435.0,32434739.0,-0.09,0.26,1.65,-0.001
2021-05-27,513060,恒生医疗ETF,1.15,1.167,1.15,1.163,335552.0,38943959.0,1.04,0.31,1.48,0.012
2021-05-28,513060,恒生医疗ETF,1.163,1.168,1.13,1.134,353686.0,40753418.0,-2.49,0.33,3.27,-0.029
2021-05-31,513060,恒生医疗ETF,1.13,1.168,1.13,1.166,348472.0,40389066.0,2.82,0.32,3.35,0.032
2021-06-01,513060,恒生医疗ETF,1.169,1.18,1.155,1.179,450131.0,52762183.0,1.11,0.42,2.14,0.013
2021-06-02,513060,恒生医疗ETF,1.18,1.19,1.169,1.169,259301.0,30547217.0,-0.85,0.24,1.78,-0.01
2021-06-03,513060,恒生医疗ETF,1.169,1.185,1.163,1.164,391544.0,46042384.0,-0.43,0.36,1.88,-0.005
2021-06-04,513060,恒生医疗ETF,1.165,1.171,1.158,1.16,307654.0,35823294.0,-0.34,0.28,1.12,-0.004
2021-06-07,513060,恒生医疗ETF,1.172,1.174,1.138,1.16,318351.0,36683485.0,0.0,0.29,3.1,0.0
2021-06-08,513060,恒生医疗ETF,1.164,1.174,1.145,1.148,284839.0,32923748.0,-1.03,0.26,2.5,-0.012
2021-06-09,513060,恒生医疗ETF,1.149,1.163,1.142,1.162,260748.0,30176215.0,1.22,0.24,1.83,0.014
2021-06-10,513060,恒生医疗ETF,1.164,1.177,1.164,1.169,443623.0,51916586.0,0.6,0.41,1.12,0.007
2021-06-11,513060,恒生医疗ETF,1.172,1.182,1.163,1.176,284071.0,33334136.0,0.6,0.26,1.63,0.007
2021-06-15,513060,恒生医疗ETF,1.177,1.184,1.155,1.16,291040.0,33841927.0,-1.36,0.27,2.47,-0.016
2021-06-16,513060,恒生医疗ETF,1.159,1.159,1.118,1.123,467382.0,52939185.0,-3.19,0.43,3.53,-0.037
2021-06-17,513060,恒生医疗ETF,1.114,1.136,1.113,1.13,530331.0,59844177.0,0.62,0.49,2.05,0.007
2021-06-18,513060,恒生医疗ETF,1.131,1.158,1.131,1.158,399518.0,46021316.0,2.48,0.37,2.39,0.028
2021-06-21,513060,恒生医疗ETF,1.159,1.181,1.147,1.17,532343.0,62243200.0,1.04,0.49,2.94,0.012
2021-06-22,513060,恒生医疗ETF,1.169,1.19,1.16,1.187,561804.0,66225410.0,1.45,0.52,2.56,0.017
2021-06-23,513060,恒生医疗ETF,1.186,1.219,1.185,1.214,662593.0,79914427.0,2.27,0.61,2.86,0.027
2021-06-24,513060,恒生医疗ETF,1.216,1.226,1.211,1.219,467315.0,56983538.0,0.41,0.43,1.24,0.005
2021-06-25,513060,恒生医疗ETF,1.223,1.231,1.214,1.22,374933.0,45787702.0,0.08,0.35,1.39,0.001
2021-06-28,513060,恒生医疗ETF,1.222,1.246,1.219,1.245,316610.0,39146341.0,2.05,0.29,2.21,0.025
2021-06-29,513060,恒生医疗ETF,1.245,1.249,1.218,1.218,377486.0,46446220.0,-2.17,0.35,2.49,-0.027
2021-06-30,513060,恒生医疗ETF,1.218,1.229,1.209,1.21,437015.0,53147924.0,-0.66,0.4,1.64,-0.008
2021-07-01,513060,恒生医疗ETF,1.211,1.221,1.211,1.22,171687.0,20889245.0,0.83,0.16,0.83,0.01
2021-07-02,513060,恒生医疗ETF,1.22,1.23,1.18,1.181,505243.0,60623217.0,-3.2,0.47,4.1,-0.039
2021-07-05,513060,恒生医疗ETF,1.181,1.19,1.164,1.172,302369.0,35560292.0,-0.76,0.28,2.2,-0.009
2021-07-06,513060,恒生医疗ETF,1.172,1.172,1.093,1.121,850196.0,95193324.0,-4.35,0.78,6.74,-0.051
2021-07-07,513060,恒生医疗ETF,1.115,1.151,1.113,1.145,696014.0,79399455.0,2.14,0.64,3.39,0.024
2021-07-08,513060,恒生医疗ETF,1.145,1.157,1.104,1.105,685966.0,77193618.0,-3.49,0.63,4.63,-0.04
2021-07-09,513060,恒生医疗ETF,1.106,1.12,1.08,1.113,781097.0,86357286.0,0.72,0.72,3.62,0.008
2021-07-12,513060,恒生医疗ETF,1.12,1.146,1.107,1.143,857907.0,97227823.0,2.7,0.79,3.5,0.03
2021-07-13,513060,恒生医疗ETF,1.145,1.151,1.127,1.129,542483.0,61655260.0,-1.22,0.5,2.1,-0.014
2021-07-14,513060,恒生医疗ETF,1.135,1.173,1.134,1.166,1020442.0,118556149.0,3.28,0.94,3.45,0.037
2021-07-15,513060,恒生医疗ETF,1.17,1.184,1.147,1.161,1121468.0,129715677.0,-0.43,1.03,3.17,-0.005
2021-07-16,513060,恒生医疗ETF,1.165,1.169,1.147,1.149,522766.0,60531038.0,-1.03,0.48,1.89,-0.012
2021-07-19,513060,恒生医疗ETF,1.148,1.163,1.138,1.157,764682.0,88356958.0,0.7,0.71,2.18,0.008
2021-07-20,513060,恒生医疗ETF,1.156,1.168,1.124,1.127,927265.0,105880611.0,-2.59,0.86,3.8,-0.03
2021-07-21,513060,恒生医疗ETF,1.134,1.137,1.122,1.125,510827.0,57663507.0,-0.18,0.47,1.33,-0.002
2021-07-22,513060,恒生医疗ETF,1.129,1.134,1.112,1.116,534166.0,59742870.0,-0.8,0.49,1.96,-0.009
2021-07-23,513060,恒生医疗ETF,1.115,1.123,1.09,1.096,544427.0,59965786.0,-1.79,0.5,2.96,-0.02
2021-07-26,513060,恒生医疗ETF,1.087,1.087,1.0,1.014,857124.0,88128775.0,-7.48,0.79,7.94,-0.082
2021-07-27,513060,恒生医疗ETF,0.996,1.004,0.913,0.914,1293503.0,124023909.0,-9.86,1.19,8.97,-0.1
2021-07-28,513060,恒生医疗ETF,0.925,0.973,0.92,0.967,1549388.0,147190377.0,5.8,1.43,5.8,0.053
2021-07-29,513060,恒生医疗ETF,1.01,1.031,1.0,1.024,875261.0,89543067.0,5.89,0.81,3.21,0.057
2021-07-30,513060,恒生医疗ETF,1.01,1.011,0.985,0.998,907097.0,90375478.0,-2.54,0.84,2.54,-0.026
2021-08-02,513060,恒生医疗ETF,1.01,1.015,0.973,1.006,896961.0,89234849.0,0.8,0.83,4.21,0.008
2021-08-03,513060,恒生医疗ETF,1.008,1.035,1.006,1.025,1129115.0,115712616.0,1.89,1.04,2.88,0.019
2021-08-04,513060,恒生医疗ETF,1.031,1.043,1.017,1.039,1027449.0,106333005.0,1.37,0.95,2.54,0.014
2021-08-05,513060,恒生医疗ETF,1.047,1.051,1.017,1.019,869515.0,90129316.0,-1.92,0.8,3.27,-0.02
2021-08-06,513060,恒生医疗ETF,1.018,1.02,0.99,0.994,573399.0,57326541.0,-2.45,0.53,2.94,-0.025
2021-08-09,513060,恒生医疗ETF,0.99,1.0,0.976,0.997,560994.0,55631103.0,0.3,0.52,2.41,0.003
2021-08-10,513060,恒生医疗ETF,1.006,1.028,1.0,1.023,601628.0,60976080.0,2.61,0.55,2.81,0.026
