symbol,name,display_name,enabled,category,sub_category,trade_class,source,keep_reason,note
159666,交通运输ETF,交通运输ETF,true,军工/基建/交通/央企,交通运输,ETF,c2_base30,保留C2正式池,后续做扩池对照
512660,军工ETF,军工ETF,true,军工/基建/交通/央企,军工,ETF,c2_base30,保留C2正式池,后续做扩池对照
516970,基建ETF,基建ETF,true,军工/基建/交通/央企,基建,ETF,c2_base30,保留C2正式池,后续做扩池对照
512950,央企改革ETF,央企改革ETF,true,军工/基建/交通/央企,央企改革,ETF,c2_base30,保留C2正式池,后续做扩池对照
560080,中药ETF,中药ETF,true,医药医疗,中药,ETF,c2_base30,保留C2正式池,后续做扩池对照
159992,创新药ETF,创新药ETF,true,医药医疗,创新药,ETF,c2_base30,保留C2正式池,后续做扩池对照
159883,医疗器械ETF,医疗器械ETF,true,医药医疗,医疗器械,ETF,c2_base30,保留C2正式池,后续做扩池对照
516750,建材ETF,建材ETF,true,周期资源/公用事业,建材,ETF,c2_base30,保留C2正式池,后续做扩池对照
512400,有色金属ETF,有色金属ETF,true,周期资源/公用事业,有色金属,ETF,c2_base30,保留C2正式池,后续做扩池对照
159611,电力ETF,电力ETF,true,周期资源/公用事业,电力,ETF,c2_base30,保留C2正式池,后续做扩池对照
159930,能源ETF,能源ETF,true,周期资源/公用事业,能源,ETF,c2_base30,保留C2正式池,后续做扩池对照
515210,钢铁ETF,钢铁ETF,true,周期资源/公用事业,钢铁,ETF,c2_base30,保留C2正式池,后续做扩池对照
159902,中小板ETF,中小板ETF,true,宽基/风格指数,中小成长,ETF,c2_base30,保留C2正式池,后续做扩池对照
510880,红利ETF,红利ETF,true,宽基/风格指数,红利,ETF,c2_base30,保留C2正式池,后续做扩池对照
515790,光伏ETF,光伏ETF,true,新能源/高端制造,光伏,ETF,c2_base30,保留C2正式池,后续做扩池对照
159870,化工ETF,化工ETF,true,新能源/高端制造,化工,ETF,c2_base30,保留C2正式池,后续做扩池对照
159663,机床ETF,机床ETF,true,新能源/高端制造,机床,ETF,c2_base30,保留C2正式池,后续做扩池对照
159565,汽车零部件ETF,汽车零部件ETF,true,新能源/高端制造,汽车零部件,ETF,c2_base30,保留C2正式池,后续做扩池对照
159755,电池ETF,电池ETF,true,新能源/高端制造,电池,ETF,c2_base30,保留C2正式池,后续做扩池对照
512980,传媒ETF,传媒ETF,true,消费/农业/传媒,传媒,ETF,c2_base30,保留C2正式池,后续做扩池对照
159825,农业ETF,农业ETF,true,消费/农业/传媒,农业,ETF,c2_base30,保留C2正式池,后续做扩池对照
159996,家电ETF,家电ETF,true,消费/农业/传媒,家电,ETF,c2_base30,保留C2正式池,后续做扩池对照
159766,旅游ETF,旅游ETF,true,消费/农业/传媒,旅游,ETF,c2_base30,保留C2正式池,后续做扩池对照
515170,食品饮料ETF,食品饮料ETF,true,消费/农业/传媒,食品饮料,ETF,c2_base30,保留C2正式池,后续做扩池对照
159811,5G50ETF,5G50ETF,true,科技/TMT,5G通信,ETF,c2_base30,保留C2正式池,后续做扩池对照
159813,半导体ETF鹏华,半导体ETF鹏华,true,科技/TMT,半导体,ETF,c2_base30,保留C2正式池,后续做扩池对照
512720,计算机ETF,计算机ETF,true,科技/TMT,计算机,ETF,c2_base30,保留C2正式池,后续做扩池对照
159768,房地产ETF,房地产ETF,true,金融/地产,房地产,ETF,c2_base30,保留C2正式池,后续做扩池对照
512880,证券ETF,证券ETF,true,金融/地产,证券,ETF,c2_base30,保留C2正式池,后续做扩池对照
159887,银行ETF,银行ETF,true,金融/地产,银行,ETF,c2_base30,保留C2正式池,后续做扩池对照
510050,50ETF,上证50ETF,true,宽基/风格指数,大盘蓝筹,ETF,wiki_sse,补足宽基大盘,提高主板风格覆盖
510300,300ETF,沪深300ETF,true,宽基/风格指数,核心宽基,ETF,wiki_sse,补足核心宽基,作为全市场核心对照
510500,500ETF,中证500ETF,true,宽基/风格指数,中盘宽基,ETF,manual_known,补足中盘宽基,扩展风格层
512100,1000ETF,中证1000ETF,true,宽基/风格指数,小盘宽基,ETF,manual_known,补足小盘宽基,扩展风格层
159915,创业板ETF,创业板ETF,true,宽基/风格指数,成长宽基,ETF,manual_known,补足成长宽基,扩展成长风格
588000,科创50ETF,科创50ETF,true,宽基/风格指数,科创宽基,ETF,manual_known,补足科创宽基,补足硬科技宽基
512890,红利低波ETF,红利低波ETF,true,宽基/风格指数,红利低波,ETF,manual_known,保留差异化红利因子,与普通红利不等价
518880,黄金ETF,黄金ETF,true,商品/贵金属/能源,黄金,ETF,manual_known,正式黄金主线,商品扩池核心
164701,贵金属LOF,贵金属LOF,true,商品/贵金属/能源,贵金属篮子,LOF,manual_known,补足贵金属篮子,增加金银协同
161226,白银LOF,白银LOF,true,商品/贵金属/能源,白银,LOF,manual_known,补足白银主线,与黄金不完全同步
161715,大宗商品LOF,大宗商品LOF,true,商品/贵金属/能源,大宗商品篮子,LOF,manual_known,补足大宗商品总线,兼做豆粕代理
501018,南方原油LOF,南方原油LOF,true,商品/贵金属/能源,原油,QDII-LOF,wiki_sse,正式原油主线,补足能源商品
162411,华宝油气LOF,华宝油气LOF,true,商品/贵金属/能源,油气股,QDII-LOF,manual_known,保留油气股线,与原油期货不等价
511010,国债ETF,国债ETF,true,债券/防守资产,国债,Bond-ETF,manual_known,补足防守资产,可做风险偏好对照
511260,十年国债ETF,十年国债ETF,true,债券/防守资产,长久期国债,Bond-ETF,manual_known,补足久期线,可做利率敏感对照
159941,纳指ETF,纳指ETF,true,海外/港股/跨境,纳斯达克100,QDII-ETF,wiki_szse,补足美股成长,研究强趋势市场
513500,标普500,标普500ETF,true,海外/港股/跨境,标普500,QDII-ETF,wiki_sse,补足美股大盘,研究海外宽基
513520,日经ETF,日经ETF,true,海外/港股/跨境,日本股市,QDII-ETF,wiki_sse,补足日本市场,增加国家分散
513030,德国30,德国30ETF,true,海外/港股/跨境,欧洲股市,QDII-ETF,wiki_sse,补足欧洲市场,增加国家分散
513050,中概互联,中概互联网ETF,true,海外/港股/跨境,中概互联网,QDII-ETF,wiki_sse,补足离岸中概互联网,与A股科技分离
513600,恒指ETF,恒生指数ETF,true,海外/港股/跨境,恒生宽基,QDII-ETF,wiki_sse,补足港股宽基,与A股宽基区分
159954,H股ETF,H股ETF,true,海外/港股/跨境,H股宽基,QDII-ETF,wiki_szse,补足H股主线,港股国企风格独立
513580,HS科技,恒生科技ETF,true,海外/港股/跨境,港股科技,QDII-ETF,wiki_sse,补足港股科技,和中概互联网互补
513060,恒生医疗,恒生医疗ETF,true,海外/港股/跨境,港股医疗,QDII-ETF,wiki_sse,补足港股医疗,和A股医药不同市场
512010,医药ETF,医药ETF,true,补充行业/风格,医药综合,ETF,manual_known,补足医药总线,增强医疗总线覆盖
512690,酒ETF,酒ETF,true,补充行业/风格,白酒,ETF,manual_known,补足白酒高弹性,与食品饮料区分
515030,新能源车ETF,新能源车ETF,true,补充行业/风格,新能源车,ETF,manual_known,补足整车宽口径,与零部件和电池互补
159851,金融科技ETF,金融科技ETF,true,补充行业/风格,金融科技,ETF,wiki_szse,补足金融科技,与券商银行区分
159852,软件ETF,软件ETF,true,补充行业/风格,软件,ETF,wiki_szse,补足软件应用层,与计算机总线互补
501059,国企红利,国企红利LOF,true,补充行业/风格,国企红利,LOF,wiki_sse,补足国企红利因子,与红利和央企改革不同
501225,全球芯片,全球芯片LOF,true,海外/港股/跨境,全球半导体,LOF,wiki_sse,补足全球半导体,与A股半导体区分
159616,农牧ETF,农牧ETF,true,补充行业/风格,农牧饲料,ETF,wiki_szse,补足农牧饲料链,作为豆粕链条代理线
