版本,年份,交易数,主策略笔数,补偿笔数,胜率,开仓年收益,自然年收益,宽基收益,自然年超额,年末净值
D1全样本收缩,2014,2,2,0,1.0,0.7557897060317189,0.4259242594327779,0.2843612031613554,0.14156305627142252,1425.924259432778
D1全样本收缩,2015,12,1,11,0.6666666666666666,0.5048163720511851,1.083727161056331,0.2669768724870303,0.8167502885693008,2971.2371089892135
D1全样本收缩,2016,14,1,13,0.6428571428571429,0.02783686075817382,-0.07405962035070646,-0.0758940979266015,0.001834477575895041,2751.1884167255416
D1全样本收缩,2017,15,1,14,0.8,0.1670378598768123,0.15197964533026487,0.1632369358997407,-0.01125729056947583,3169.3130565362226
D1全样本收缩,2018,3,3,0,1.0,0.16411840817344636,-0.013296197785317543,-0.2825445694692642,0.26924837168394666,3127.1732432929275
D1全样本收缩,2019,12,3,9,0.5833333333333334,0.1441626232602118,0.30232233504340233,0.2811698037639749,0.021152531279427456,4072.5875602904953
D1全样本收缩,2020,11,3,8,0.7272727272727273,0.4382691460458279,0.4079274119496352,0.1521079163773979,0.2558194955722373,5733.907663698076
D1全样本收缩,2021,4,4,0,1.0,0.41436649252283697,0.4976194820180242,0.0464774567013976,0.4511420253166266,8587.211825246692
D1全样本收缩,2022,5,5,0,0.6,0.27572824684693065,0.11985742526264453,-0.1418946154480374,0.2617520407106819,9616.452924805695
D1全样本收缩,2023,4,4,0,0.5,0.09573631772521263,0.23477063262800058,-0.0802316026831641,0.31500223531116467,11874.113661599715
D1全样本收缩,2024,8,3,5,0.75,0.583668771098218,0.4999512265816415,0.1247104266177192,0.3752407999639223,17810.59135128632
D1全样本收缩,2025,8,3,5,0.75,0.6802127063668242,0.5455270044566298,0.1550271241388141,0.39049988031781574,27526.749898754704
D1全样本收缩,2026,4,3,1,0.5,-0.0042080744434097594,0.15547002882435712,0.030280706533017,0.1251893222913401,31806.334498954966
