date,symbol,name,open,high,low,close,volume,amount,pct_change,turnover_rate,source_file
2020-12-29,159825,,1.025,1.027,1.002,1.003,283017734.0,287374841.0,,,sina:159825
2020-12-30,159825,,1.005,1.015,1.004,1.013,155549472.0,157237860.0,,,sina:159825
2020-12-31,159825,,1.015,1.025,1.012,1.022,156028444.0,159061830.0,,,sina:159825
2021-01-04,159825,,1.027,1.099,1.027,1.097,362908304.0,389026146.0,,,sina:159825
2021-01-05,159825,,1.098,1.134,1.089,1.132,432736443.0,482716444.0,,,sina:159825
2021-01-06,159825,,1.133,1.146,1.115,1.126,266997069.0,299981022.0,,,sina:159825
2021-01-07,159825,,1.129,1.14,1.11,1.14,239460476.0,268393475.0,,,sina:159825
2021-01-08,159825,,1.141,1.141,1.101,1.11,289587529.0,322023233.0,,,sina:159825
2021-01-11,159825,,1.108,1.109,1.06,1.071,294174184.0,317804491.0,,,sina:159825
2021-01-12,159825,,1.068,1.085,1.06,1.085,184166672.0,197680679.0,,,sina:159825
2021-01-13,159825,,1.09,1.09,1.062,1.071,219780136.0,235315514.0,,,sina:159825
2021-01-14,159825,,1.066,1.067,1.042,1.045,204875607.0,215344683.0,,,sina:159825
2021-01-15,159825,,1.045,1.052,1.025,1.04,181752665.0,188459797.0,,,sina:159825
2021-01-18,159825,,1.04,1.055,1.038,1.055,149418910.0,156823945.0,,,sina:159825
2021-01-19,159825,,1.056,1.057,1.03,1.032,221009143.0,229525336.0,,,sina:159825
2021-01-20,159825,,1.032,1.042,1.024,1.042,159143771.0,164515672.0,,,sina:159825
2021-01-21,159825,,1.045,1.068,1.041,1.062,275558735.0,290759287.0,,,sina:159825
2021-01-22,159825,,1.06,1.066,1.055,1.062,133241463.0,141100931.0,,,sina:159825
2021-01-25,159825,,1.061,1.077,1.056,1.075,232534864.0,248748156.0,,,sina:159825
2021-01-26,159825,,1.08,1.1,1.071,1.087,349816510.0,380747089.0,,,sina:159825
2021-01-27,159825,,1.083,1.108,1.075,1.108,285878111.0,312997306.0,,,sina:159825
2021-01-28,159825,,1.098,1.108,1.083,1.088,165166543.0,180862186.0,,,sina:159825
2021-01-29,159825,,1.09,1.094,1.05,1.065,138908522.0,148888430.0,,,sina:159825
2021-02-01,159825,,1.054,1.086,1.05,1.078,106926219.0,114573907.0,,,sina:159825
2021-02-02,159825,,1.083,1.097,1.07,1.093,110555427.0,120018149.0,,,sina:159825
2021-02-03,159825,,1.085,1.122,1.083,1.112,213979812.0,237782733.0,,,sina:159825
2021-02-04,159825,,1.103,1.118,1.088,1.104,85766182.0,94608158.0,,,sina:159825
2021-02-05,159825,,1.105,1.147,1.101,1.102,181179462.0,203900247.0,,,sina:159825
2021-02-08,159825,,1.111,1.138,1.103,1.137,113648728.0,128072431.0,,,sina:159825
2021-02-09,159825,,1.133,1.163,1.128,1.162,116818012.0,134283922.0,,,sina:159825
2021-02-10,159825,,1.162,1.193,1.151,1.186,86915279.0,102490994.0,,,sina:159825
2021-02-18,159825,,1.207,1.214,1.165,1.179,109130923.0,128928841.0,,,sina:159825
2021-02-19,159825,,1.178,1.222,1.17,1.22,113695181.0,136545017.0,,,sina:159825
2021-02-22,159825,,1.231,1.237,1.203,1.208,161045944.0,196723670.0,,,sina:159825
2021-02-23,159825,,1.2,1.202,1.175,1.18,96669029.0,114751591.0,,,sina:159825
2021-02-24,159825,,1.178,1.192,1.146,1.161,89207808.0,104014461.0,,,sina:159825
2021-02-25,159825,,1.163,1.17,1.147,1.152,47400988.0,54797041.0,,,sina:159825
2021-02-26,159825,,1.14,1.144,1.113,1.126,62944817.0,70906906.0,,,sina:159825
2021-03-01,159825,,1.133,1.15,1.133,1.149,52179540.0,59675489.0,,,sina:159825
2021-03-02,159825,,1.151,1.159,1.118,1.13,62373517.0,70746665.0,,,sina:159825
2021-03-03,159825,,1.135,1.138,1.12,1.134,53692189.0,60599553.0,,,sina:159825
2021-03-04,159825,,1.135,1.135,1.093,1.099,99612395.0,109824723.0,,,sina:159825
2021-03-05,159825,,1.079,1.091,1.067,1.084,63230373.0,68264584.0,,,sina:159825
2021-03-08,159825,,1.085,1.098,1.039,1.04,72062032.0,76618486.0,,,sina:159825
2021-03-09,159825,,1.04,1.04,0.995,1.01,75508012.0,76732720.0,,,sina:159825
2021-03-10,159825,,1.021,1.028,1.008,1.012,42312261.0,42911203.0,,,sina:159825
2021-03-11,159825,,1.015,1.029,1.005,1.028,48367627.0,49376893.0,,,sina:159825
2021-03-12,159825,,1.032,1.035,1.006,1.026,47156176.0,48019008.0,,,sina:159825
