symbol,name,display_name,enabled,role,theme_group,mapping_notes,history_proxy_symbol,history_proxy_name,history_proxy_mode,category,sub_category,pool_role,source,note,rows,start,end,amount20,kept_reason,clean_pool
159666,交通运输ETF,交通运输ETF,True,industry,交通运输,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,军工/基建/交通/央企,交通运输,交易+研究,当前保留,,818,2023-02-13,2026-06-29,20890254.8,未发现需要剔除的高相似ETF,True
512660,军工ETF,军工ETF,True,industry,军工,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,军工/基建/交通/央企,军工,交易+研究,当前保留,,2399,2016-08-08,2026-06-29,324411791.5,未发现需要剔除的高相似ETF,True
516970,基建ETF,基建ETF,True,industry,基建,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,军工/基建/交通/央企,基建,交易+研究,建议新增,,1207,2021-07-05,2026-06-29,43542107.55,未发现需要剔除的高相似ETF,True
512950,央企改革ETF,央企改革ETF,True,industry,央企改革,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,军工/基建/交通/央企,央企改革,交易+研究,建议新增,央企改革主题，作为央企主题而非普通大盘宽基,1802,2019-01-18,2026-06-29,15292879.9,未发现需要剔除的高相似ETF,True
560080,中药ETF,中药ETF,True,industry,中药,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,医药医疗,中药,交易+研究,建议新增,,897,2022-10-17,2026-06-29,52464793.0,未发现需要剔除的高相似ETF,True
159992,创新药ETF,创新药ETF,True,industry,创新药,相似组内保留代表；clean_pool_20260702,,,price_only,医药医疗,创新药,交易+研究,当前保留,,1506,2020-04-10,2026-06-29,699068015.7,相似组内保留代表,True
159883,医疗器械ETF,医疗器械ETF,True,industry,医疗器械,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,医药医疗,医疗器械,交易+研究,当前保留,,1249,2021-04-30,2026-06-29,82486371.1,未发现需要剔除的高相似ETF,True
516750,建材ETF,建材ETF,True,industry,建材,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,周期资源/公用事业,建材,交易+研究,当前保留,,1125,2021-11-05,2026-06-29,9599478.1,未发现需要剔除的高相似ETF,True
512400,有色金属ETF,有色金属ETF,True,industry,有色金属,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,周期资源/公用事业,有色金属,交易+研究,建议新增,,2138,2017-09-01,2026-06-29,1443153141.0,未发现需要剔除的高相似ETF,True
159611,电力ETF,电力ETF,True,industry,电力,未发现需要剔除的高相似ETF；clean_pool_20260702,,,price_only,周期资源/公用事业,电力,交易+研究,建议新增,,1081,2022-01-07,2026-06-29,904084218.0,未发现需要剔除的高相似ETF,True
