symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
512880,证券ETF,baseline,2021-01-04,1.232,2021-03-08,1.073,2700,5.0,3331.4,2021-03-08,1.073,5.0,-0.13186648255988478,-439.3000000000002,closed
515210,钢铁ETF,baseline,2021-01-04,1.254,2021-03-08,1.444,2600,5.0,3265.4,2021-03-08,1.444,5.0,0.1482207386537637,484.0,closed
515210,钢铁ETF,baseline,2021-01-05,1.242,2021-03-09,1.459,2700,5.0,3358.4,2021-03-09,1.459,5.0,0.1714804668889948,575.9000000000001,closed
159902,中小板ETF,baseline,2021-03-08,4.595,2021-05-07,4.425,700,5.0,3221.5,2021-05-07,4.425,5.0,-0.04004345801645196,-129.0,closed
512950,央企改革ETF,baseline,2021-03-16,1.154,2021-05-17,1.166,3200,5.0,3697.7999999999997,2021-05-17,1.166,5.0,0.007680242306236165,28.40000000000009,closed
512950,央企改革ETF,baseline,2021-03-17,1.162,2021-05-18,1.176,3100,5.0,3607.2,2021-05-18,1.176,5.0,0.009259259259259285,33.40000000000009,closed
515210,钢铁ETF,baseline,2021-06-01,1.568,2021-07-28,1.676,2200,5.0,3454.6,2021-07-28,1.676,5.0,0.06588317026573262,227.5999999999999,closed
515210,钢铁ETF,baseline,2021-06-02,1.536,2021-07-29,1.757,2300,5.0,3537.8,2021-07-29,1.757,5.0,0.14085024591554066,498.2999999999997,closed
515210,钢铁ETF,baseline,2021-06-03,1.583,2021-07-30,1.823,2200,5.0,3487.6,2021-07-30,1.823,5.0,0.14852620713384562,518.0,closed
510880,红利ETF,baseline,2021-08-16,2.892,2021-09-02,3.194,1300,5.0,3764.6,2021-09-02,3.194,5.0,0.1016309833714073,382.5999999999999,closed
512400,有色金属ETF,baseline,2021-10-11,1.388,2021-12-06,1.438,2900,5.0,4030.2,2021-12-06,1.438,5.0,0.033497096918267084,135.0,closed
515210,钢铁ETF,baseline,2021-10-11,1.847,2021-12-06,1.711,2200,5.0,4068.4,2021-12-06,1.711,5.0,-0.0760003932749975,-309.1999999999998,closed
512400,有色金属ETF,baseline,2021-10-12,1.346,2021-12-07,1.422,3000,5.0,4043.0000000000005,2021-12-07,1.422,5.0,0.05392035617115991,217.99999999999955,closed
515790,光伏ETF,baseline,2022-01-04,1.629,2022-03-08,1.513,2400,5.0,3914.6,2022-03-08,1.513,5.0,-0.07367291677310583,-288.4000000000001,closed
159930,能源ETF,baseline,2022-11-08,1.166,2023-01-04,1.05,3400,5.0,3969.3999999999996,2023-01-04,1.05,5.0,-0.1018793772358542,-404.39999999999964,closed
159930,能源ETF,baseline,2022-11-09,1.147,2023-01-05,1.055,3400,5.0,3904.8,2023-01-05,1.055,5.0,-0.08266748617086667,-322.8000000000002,closed
159930,能源ETF,baseline,2022-11-14,1.134,2023-01-10,1.059,3500,5.0,3973.9999999999995,2023-01-10,1.059,5.0,-0.06857070961248102,-272.49999999999955,closed
159766,旅游ETF,baseline,2023-02-07,1.063,2023-04-04,1.12,3400,5.0,3619.2,2023-04-04,1.12,5.0,0.05078470380194536,183.80000000000064,closed
159766,旅游ETF,baseline,2023-02-08,1.065,2023-04-06,1.122,3400,5.0,3626.0,2023-04-06,1.122,5.0,0.05068946497517931,183.80000000000018,closed
159766,旅游ETF,baseline,2023-02-09,1.083,2023-04-07,1.131,3400,5.0,3687.2,2023-04-07,1.131,5.0,0.041549142981123964,153.20000000000027,closed
512720,计算机ETF,baseline,2023-05-05,1.298,2023-07-04,1.319,2900,5.0,3769.2000000000003,2023-07-04,1.319,5.0,0.013504191870953952,50.899999999999636,closed
512720,计算机ETF,baseline,2023-05-08,1.333,2023-07-05,1.294,2800,5.0,3737.4,2023-07-05,1.294,5.0,-0.03189382993524906,-119.19999999999982,closed
159811,5G50ETF,baseline,2023-05-08,0.992,2023-07-05,1.103,3900,5.0,3873.8,2023-07-05,1.103,5.0,0.10916929113531923,422.89999999999964,closed
512980,传媒ETF,baseline,2023-07-04,0.867,2023-08-29,0.829,4400,5.0,3819.8,2023-08-29,0.829,5.0,-0.04638986334363063,-177.20000000000027,closed
512980,传媒ETF,baseline,2023-07-05,0.854,2023-08-30,0.845,4600,5.0,3933.4,2023-08-30,0.845,5.0,-0.013067575125845348,-51.40000000000009,closed
512720,计算机ETF,baseline,2023-07-05,1.294,2023-08-30,1.175,3100,5.0,4016.4,2023-08-30,1.175,5.0,-0.09433821332536602,-378.9000000000001,closed
159996,家电ETF,baseline,2023-08-31,1.117,2023-11-03,1.076,3300,5.0,3691.1,2023-11-03,1.076,5.0,-0.0393649589553249,-145.29999999999973,closed
159996,家电ETF,baseline,2023-09-01,1.135,2023-11-06,1.09,3300,5.0,3750.5,2023-11-06,1.09,5.0,-0.042261031862418225,-158.49999999999955,closed
159996,家电ETF,baseline,2023-09-04,1.142,2023-11-07,1.094,3200,5.0,3659.3999999999996,2023-11-07,1.094,5.0,-0.04470678253265548,-163.59999999999945,closed
512400,有色金属ETF,baseline,2025-01-08,0.984,2025-03-13,1.093,3600,5.0,3547.4,2025-03-13,1.093,5.0,0.10779725996504472,382.39999999999964,closed
512660,军工ETF,baseline,2025-01-08,0.965,2025-03-13,1.093,3700,5.0,3575.5,2025-03-13,1.093,5.0,0.1296601873863795,463.5999999999999,closed
512400,有色金属ETF,baseline,2025-01-10,0.987,2025-03-17,1.096,3600,5.0,3558.2,2025-03-17,1.096,5.0,0.1074700691360802,382.40000000000055,closed
159811,5G50ETF,baseline,2025-04-02,1.257,2025-06-04,1.184,3100,5.0,3901.7,2025-06-04,1.184,5.0,-0.060563344183304765,-236.30000000000018,closed
159811,5G50ETF,baseline,2025-04-03,1.211,2025-06-05,1.221,3300,5.0,4001.3,2025-06-05,1.221,5.0,0.005748131857146427,23.0,closed
159766,旅游ETF,baseline,2025-06-27,0.676,2025-08-22,0.71,5700,5.0,3858.2000000000003,2025-08-22,0.71,5.0,0.04763879529314181,183.79999999999973,closed
159766,旅游ETF,baseline,2025-06-30,0.677,2025-08-25,0.722,5800,5.0,3931.6000000000004,2025-08-25,0.722,5.0,0.0638416929494351,250.9999999999991,closed
159887,银行ETF,baseline,2025-08-04,1.397,2025-09-29,1.278,2800,5.0,3916.6,2025-09-29,1.278,5.0,-0.08762702343869679,-343.1999999999998,closed
159887,银行ETF,baseline,2025-08-22,1.386,2025-10-27,1.352,2900,5.0,4024.3999999999996,2025-10-27,1.352,5.0,-0.026985389126329258,-108.59999999999945,closed
159887,银行ETF,baseline,2025-08-25,1.396,2025-10-28,1.347,3000,5.0,4193.0,2025-10-28,1.347,5.0,-0.037443357977581686,-157.0,closed
159663,机床ETF,baseline,2025-12-02,0.702,2026-01-13,0.839,5400,5.0,3795.7999999999997,2026-01-13,0.839,5.0,0.19226513514937557,729.7999999999997,closed
159663,机床ETF,baseline,2025-12-03,0.698,2026-01-13,0.839,5500,5.0,3843.9999999999995,2026-01-13,0.839,5.0,0.19914151925078058,765.5000000000005,closed
159663,机床ETF,baseline,2025-12-04,0.707,2026-01-13,0.839,5500,5.0,3893.5,2026-01-13,0.839,5.0,0.18389623731860794,716.0,closed
159611,电力ETF,baseline,2026-01-15,1.03,2026-03-20,1.144,4400,5.0,4537.0,2026-03-20,1.144,5.0,0.10835353757989849,491.59999999999945,closed
