overlay,family,threshold,recovery_change,exit_key,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,robust_score
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_90_greed_70,90,70.0,130,124,6,99,0.7983870967741935,0.05548379458071453,0.04044750430292621,687.9990528008601,-126.36453173068199,561.6345210701782,5,0.0,0.3718000477068745,0.4860946829447611
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_120_greed_70,120,70.0,130,124,6,99,0.7983870967741935,0.053434425860835286,0.038659793814433074,662.5868806743575,-126.36453173068199,536.2223489436756,5,0.0,0.3718000477068745,0.4854798723287974
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_90_greed_70,90,70.0,142,135,7,106,0.7851851851851852,0.05657731260761385,0.04091816367265455,763.793720202787,-153.1149805637161,610.6787396390708,5,0.0,0.37176759362344497,0.47982437888500123
recovery_peak_50_change_le_0p0,recovery,50.0,0.0,hold_120_greed_70,120,70.0,142,135,7,106,0.7851851851851852,0.05473512472112586,0.04044750430292621,738.9241837351991,-153.1149805637161,585.809203171483,5,0.0,0.37176759362344497,0.47927172251905475
core_ge_65,core,65.0,,hold_90_greed_70,90,70.0,83,71,12,51,0.7183098591549296,0.06066491070077147,0.04271356783919611,430.72086597547747,-278.81184758411655,151.90901839136092,3,0.48717948717948717,0.24174590809796495,0.4777326788578078
core_ge_65,core,65.0,,hold_120_greed_70,120,70.0,83,71,12,51,0.7183098591549296,0.06066491070077147,0.04271356783919611,430.72086597547747,-278.81184758411655,151.90901839136092,3,0.48717948717948717,0.24174590809796495,0.4777326788578078
recovery_peak_50_change_le_m2p5,recovery,50.0,-2.5,hold_60_greed_70,60,70.0,130,124,6,97,0.782258064516129,0.0543616606021372,0.038895114298520994,674.0845914665014,-126.36453173068199,547.7200597358194,5,0.0,0.37171795426706056,0.4777000940973408
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_90_greed_70,90,70.0,164,155,9,121,0.7806451612903226,0.0550034315889735,0.04096561814191668,852.5531896290893,-192.27916833125582,660.2740212978334,5,0.0,0.3729257153140022,0.4769895528967332
recovery_peak_50_change_le_2p5,recovery,50.0,2.5,hold_120_greed_70,120,70.0,164,155,9,121,0.7806451612903226,0.05187430394839837,0.038659793814433074,804.0517112001747,-192.27916833125582,611.7725428689189,5,0.0,0.3729257153140022,0.4760508146045606
core_ge_60,core,60.0,,hold_120_greed_70,120,70.0,137,124,13,96,0.7741935483870968,0.06146705912160817,0.047712269800340934,762.1915331079413,-305.56229641715066,456.6292366907906,4,0.0,0.41043446572380266,0.47270213467212663
