symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
515210,钢铁ETF,baseline,2021-01-04,1.254,2021-03-08,1.444,7900,5.0,9911.6,2021-03-08,1.444,5.0,0.1504297994269341,1491.0,closed
159902,中小板ETF,baseline,2021-03-08,4.595,2021-05-07,4.425,2400,5.0,11033.0,2021-05-07,4.425,5.0,-0.03788634097706879,-418.0,closed
515210,钢铁ETF,baseline,2021-06-01,1.568,2021-07-28,1.676,7000,5.0,10981.0,2021-07-28,1.676,5.0,0.06793552499772335,746.0,closed
510880,红利ETF,baseline,2021-08-16,2.892,2021-09-02,3.194,4000,5.0,11573.0,2021-09-02,3.194,5.0,0.10351680635963018,1198.0,closed
515210,钢铁ETF,baseline,2021-10-11,1.847,2021-12-06,1.711,7000,5.0,12934.0,2021-12-06,1.711,5.0,-0.07437760940157724,-962.0,closed
515790,光伏ETF,baseline,2022-01-04,1.629,2022-03-08,1.513,7300,5.0,11896.7,2022-03-08,1.513,5.0,-0.07201997192498769,-856.8000000000011,closed
159930,能源ETF,baseline,2022-11-08,1.166,2023-01-04,1.05,9500,5.0,11082.0,2023-01-04,1.05,5.0,-0.10034289839379174,-1112.0,closed
159766,旅游ETF,baseline,2023-02-07,1.063,2023-04-04,1.12,9400,5.0,9997.199999999999,2023-04-04,1.12,5.0,0.05259472652342686,525.8000000000029,closed
512720,计算机ETF,baseline,2023-05-05,1.298,2023-07-04,1.319,8100,5.0,10518.800000000001,2023-07-04,1.319,5.0,0.01522036734228225,160.09999999999854,closed
512980,传媒ETF,baseline,2023-07-04,0.867,2023-08-29,0.829,12400,5.0,10755.8,2023-08-29,0.829,5.0,-0.04473865263392764,-481.1999999999989,closed
159996,家电ETF,baseline,2023-08-31,1.117,2023-11-03,1.076,9200,5.0,10281.4,2023-11-03,1.076,5.0,-0.03766024082323408,-387.1999999999989,closed
512660,军工ETF,core_ge_40,2025-01-08,0.965,2025-03-13,1.093,10200,5.0,9848.0,2025-03-13,1.093,5.0,0.1315597075548335,1295.6000000000004,closed
159887,银行ETF,core_ge_40,2025-08-28,1.368,2025-10-31,1.321,8100,5.0,11085.800000000001,2025-10-31,1.321,5.0,-0.035243284201410874,-390.7000000000007,closed
159663,机床ETF,core_ge_40,2025-12-03,0.698,2026-01-13,0.839,15400,5.0,10754.199999999999,2026-01-13,0.839,5.0,0.20098194193896354,2161.4000000000015,closed
159611,电力ETF,core_ge_40,2026-01-16,1.034,2026-03-23,1.12,12500,5.0,12930.0,2026-03-23,1.12,5.0,0.08236658932714631,1065.0000000000018,closed
515790,光伏ETF,core_ge_40,2026-05-07,1.101,2026-07-03,0.957,12700,5.0,13987.699999999999,2026-07-03,0.957,5.0,-0.1314583526955825,-1838.7999999999993,closed
