symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
515210,钢铁ETF,baseline,2021-01-04,1.254,2021-05-21,1.572,7900,5.0,9911.6,2021-05-21,1.572,5.0,0.252451672787441,2502.2000000000007,closed
515210,钢铁ETF,baseline,2021-06-01,1.568,2021-06-24,1.545,7900,5.0,12392.2,2021-06-24,1.545,5.0,-0.015469408176110836,-191.70000000000073,closed
515210,钢铁ETF,baseline,2021-06-24,1.545,2021-07-22,1.8,7900,5.0,12210.5,2021-07-22,1.8,5.0,0.16416199172843046,2004.5,closed
510880,红利ETF,baseline,2021-08-16,2.892,2021-09-02,3.194,4900,5.0,14175.8,2021-09-02,3.194,5.0,0.10368374271646053,1469.800000000001,closed
515210,钢铁ETF,baseline,2021-10-11,1.847,2021-11-23,1.685,8500,5.0,15704.5,2021-11-23,1.685,5.0,-0.08831863478620777,-1387.0,closed
515790,光伏ETF,baseline,2022-01-04,1.629,2022-05-24,1.358,8800,5.0,14340.2,2022-05-24,1.358,5.0,-0.16699906556393906,-2394.7999999999993,closed
159930,能源ETF,baseline,2022-11-08,1.166,2023-01-04,1.05,10200,5.0,11898.199999999999,2023-01-04,1.05,5.0,-0.10028407658301247,-1193.199999999999,closed
159766,旅游ETF,baseline,2023-02-07,1.063,2023-02-24,1.096,10100,5.0,10741.3,2023-02-24,1.096,5.0,0.030098777615372545,323.3000000000011,closed
159766,旅游ETF,baseline,2023-02-28,1.114,2023-03-20,1.053,9900,5.0,11033.6,2023-03-20,1.053,5.0,-0.055639138631090615,-613.9000000000015,closed
159766,旅游ETF,baseline,2023-03-20,1.053,2023-04-03,1.116,9900,5.0,10429.699999999999,2023-04-03,1.116,5.0,0.05884157741833443,613.7000000000025,closed
159766,旅游ETF,baseline,2023-04-03,1.116,2023-04-14,1.101,9900,5.0,11053.400000000001,2023-04-14,1.101,5.0,-0.01433947925525194,-158.50000000000182,closed
512720,计算机ETF,baseline,2023-05-05,1.298,2023-06-16,1.416,8400,5.0,10908.2,2023-06-16,1.416,5.0,0.08995067930547651,981.1999999999989,closed
159813,半导体ETF鹏华,baseline,2023-06-16,0.706,2023-07-04,0.691,16900,5.0,11936.4,2023-07-04,0.691,5.0,-0.022075332596092626,-263.5,closed
512980,传媒ETF,baseline,2023-07-04,0.867,2023-07-14,0.879,13400,5.0,11622.8,2023-07-14,0.879,5.0,0.012974498399697242,150.8000000000011,closed
512980,传媒ETF,baseline,2023-07-14,0.879,2023-07-26,0.819,13400,5.0,11783.6,2023-07-26,0.819,5.0,-0.06907905903119606,-814.0000000000018,closed
512980,传媒ETF,baseline,2023-07-26,0.819,2023-08-07,0.851,13400,5.0,10979.599999999999,2023-08-07,0.851,5.0,0.038143466064337606,418.8000000000011,closed
159611,电力ETF,baseline,2023-08-07,0.936,2023-11-16,0.865,12200,5.0,11424.2,2023-11-16,0.865,5.0,-0.0766968365399766,-876.2000000000007,closed
512660,军工ETF,baseline,2025-01-08,0.965,2025-02-21,1.043,10900,5.0,10523.5,2025-02-21,1.043,5.0,0.07984035729557647,840.1999999999989,closed
159811,5G50ETF,baseline,2025-04-02,1.257,2025-05-09,1.186,9000,5.0,11317.999999999998,2025-05-09,1.186,5.0,-0.05734228662307813,-648.9999999999982,closed
159766,旅游ETF,baseline,2025-06-27,0.676,2025-07-09,0.673,15900,5.0,10753.400000000001,2025-07-09,0.673,5.0,-0.005365744787695121,-57.70000000000073,closed
159887,银行ETF,baseline,2025-08-04,1.397,2025-08-14,1.393,7600,5.0,10622.2,2025-08-14,1.393,5.0,-0.0038033552371449842,-40.400000000001455,closed
159887,银行ETF,baseline,2025-08-19,1.377,2025-11-11,1.371,7700,5.0,10607.9,2025-11-11,1.371,5.0,-0.005297938328981128,-56.19999999999891,closed
159663,机床ETF,baseline,2025-12-02,0.702,2025-12-23,0.7495,15100,5.0,10605.199999999999,2025-12-23,0.7495,5.0,0.06668898276317296,707.2500000000018,closed
159611,电力ETF,baseline,2026-01-15,1.03,2026-06-04,1.228,10900,5.0,11232.0,2026-06-04,1.228,5.0,0.1912571225071224,2148.199999999999,closed
