symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
515210,钢铁ETF,enhanced_ge_40,2021-01-07,1.267,2021-05-26,1.553,7800,5.0,9887.599999999999,2021-05-26,1.553,5.0,0.22460455520045325,2220.800000000001,closed
515210,钢铁ETF,enhanced_ge_40,2021-06-03,1.583,2021-06-24,1.545,7700,5.0,12194.1,2021-06-24,1.545,5.0,-0.024815279520423842,-302.60000000000036,closed
510880,红利ETF,enhanced_ge_40,2021-08-16,2.892,2021-09-02,3.194,4100,5.0,11862.199999999999,2021-09-02,3.194,5.0,0.1035389725346058,1228.2000000000007,closed
515210,钢铁ETF,enhanced_ge_40,2021-10-11,1.847,2021-11-23,1.685,7100,5.0,13118.7,2021-11-23,1.685,5.0,-0.08843864102388199,-1160.2000000000007,closed
159930,能源ETF,enhanced_ge_40,2022-11-08,1.166,2023-01-04,1.05,10200,5.0,11898.199999999999,2023-01-04,1.05,5.0,-0.10028407658301247,-1193.199999999999,closed
159766,旅游ETF,enhanced_ge_40,2023-02-07,1.063,2023-02-24,1.096,10100,5.0,10741.3,2023-02-24,1.096,5.0,0.030098777615372545,323.3000000000011,closed
159766,旅游ETF,enhanced_ge_40,2023-03-15,1.073,2023-03-27,1.069,10300,5.0,11056.9,2023-03-27,1.069,5.0,-0.004630592661595993,-51.20000000000073,closed
159811,5G50ETF,enhanced_ge_40,2023-05-08,0.992,2023-06-16,1.116,11100,5.0,11016.2,2023-06-16,1.116,5.0,0.12403551133784786,1366.3999999999996,closed
159611,电力ETF,enhanced_ge_40,2023-08-15,0.922,2023-11-16,0.865,13400,5.0,12359.800000000001,2023-11-16,0.865,5.0,-0.06260619103869003,-773.8000000000011,closed
512660,军工ETF,enhanced_ge_40,2025-01-08,0.965,2025-02-21,1.043,12000,5.0,11585.0,2025-02-21,1.043,5.0,0.07993094518774277,926.0,closed
159887,银行ETF,enhanced_ge_40,2025-08-21,1.391,2025-11-11,1.371,9000,5.0,12524.0,2025-11-11,1.371,5.0,-0.015170871925902267,-190.0,closed
159611,电力ETF,enhanced_ge_40,2026-01-15,1.03,2026-06-04,1.228,12000,5.0,12365.0,2026-06-04,1.228,5.0,0.19134654266073595,2366.0,closed
