period,qvix_weight,entry_threshold,max_hold,greed_threshold,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
all,0.0,40,60,65.0,1,fear,10000.0,9491.999999999996,-508.00000000000364,-0.0508000000000004,-0.009387352193770404,17,17,0.47058823529411764,0.002603420353988838,0,9491.999999999996,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,60,65.0,1,fear,10000.0,8653.699999999995,-1346.3000000000047,-0.13463000000000047,-0.08864228198112933,6,6,0.5,-0.01587048033427708,0,8653.699999999995,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,40,60,70.0,1,fear,10000.0,9541.399999999996,-458.600000000004,-0.045860000000000345,-0.00845666604469486,16,16,0.5,0.002686601316307876,0,9541.399999999996,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,60,70.0,1,fear,10000.0,8853.9,-1146.1000000000004,-0.11460999999999999,-0.07516367156813752,5,5,0.6,-0.014551456504293736,0,8853.9,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,40,60,75.0,1,fear,10000.0,11340.6,1340.6000000000004,0.13406000000000007,0.023019724700301225,14,14,0.5714285714285714,0.015730184407569025,0,11340.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,60,75.0,1,fear,10000.0,9501.499999999998,-498.5000000000018,-0.04985000000000017,-0.03229173945939101,5,5,0.6,0.00016997071804666363,0,9501.499999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,40,90,65.0,1,fear,10000.0,11449.8,1449.7999999999993,0.1449799999999999,0.024794806747514997,16,15,0.4666666666666667,0.022227212541431,1,83.59999999999854,11366.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,90,65.0,1,fear,10000.0,10685.599999999997,685.5999999999967,0.06855999999999973,0.04348562995791028,6,5,0.6,0.04331706013818273,1,92.19999999999527,10593.400000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,40,90,70.0,1,fear,10000.0,13013.000000000007,3013.0000000000073,0.3013000000000008,0.04879741397241766,14,14,0.5,0.02319730357869859,0,13013.000000000007,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,90,70.0,1,fear,10000.0,12524.9,2524.8999999999996,0.2524899999999999,0.1554810606046464,4,4,0.75,0.059999342501934436,0,12524.9,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,40,90,75.0,1,fear,10000.0,12311.199999999999,2311.199999999999,0.23112,0.03833123087960244,11,11,0.5454545454545454,0.02522763527398043,0,12311.199999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,40,90,75.0,1,fear,10000.0,11970.399999999998,1970.3999999999978,0.19703999999999988,0.12237806997203515,3,3,0.6666666666666666,0.06432527152581792,0,11970.399999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,45,60,65.0,1,fear,10000.0,13035.300000000003,3035.300000000003,0.3035300000000003,0.04914725861638147,16,15,0.5333333333333333,0.029887712693072666,1,123.50000000000182,12911.800000000001,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,60,65.0,1,fear,10000.0,10470.500000000002,470.5000000000018,0.04705000000000026,0.02995298342626862,5,4,0.75,0.04685240906317861,1,97.90000000000146,10372.6,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,45,60,70.0,1,fear,10000.0,12604.900000000001,2604.9000000000015,0.2604900000000001,0.04279090252778195,15,14,0.5714285714285714,0.029605954903582282,1,24.30000000000109,12580.6,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,60,70.0,1,fear,10000.0,10189.600000000002,189.60000000000218,0.01896000000000031,0.012129756049442664,5,4,0.75,0.03997129181400059,1,37.80000000000109,10151.800000000001,2026-07-31,万三，单边最低5元；100股整数手
all,0.0,45,60,75.0,1,fear,10000.0,14175.500000000011,4175.500000000011,0.4175500000000012,0.06519188010399612,14,13,0.6153846153846154,0.041212523473540645,1,49.300000000010186,14126.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,0.0,45,60,75.0,1,fear,10000.0,10938.000000000002,938.0000000000018,0.0938000000000001,0.059241186916881405,5,4,0.75,0.05827057320016777,1,123.80000000000109,10814.2,2026-07-31,万三，单边最低5元；100股整数手
