period,source,max_positions,ranking,initial_capital,final_value,net_profit,total_return,cagr,accepted_trades,closed_trades,win_rate,avg_net_return,open_positions,cash,open_mark_value,as_of,fee_rule
all,fear_greed,1,liquidity,10000.0,15135.400000000001,5135.4000000000015,0.5135400000000001,0.07754032998734006,10,10,0.6,0.04723440403680997,0,15135.400000000001,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,fear_greed,1,fear,10000.0,14746.799999999996,4746.799999999996,0.47467999999999955,0.07250187506044181,10,10,0.5,0.04559850557545605,0,14746.799999999996,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,fear_greed,3,liquidity,10000.0,12957.500000000002,2957.500000000002,0.2957500000000002,0.04779294160554315,28,27,0.5925925925925926,0.04303981805457515,1,9780.100000000002,3177.3999999999996,2026-07-31,万三，单边最低5元；100股整数手
all,fear_greed,3,fear,10000.0,13250.500000000002,3250.500000000002,0.3250500000000003,0.05202322047102359,28,27,0.5555555555555556,0.03997197274888606,1,9501.900000000001,3748.6000000000004,2026-07-31,万三，单边最低5元；100股整数手
all,baseline,1,liquidity,10000.0,10712.600000000006,712.6000000000058,0.07126000000000055,0.01243766403245794,20,20,0.45,0.007790092946607599,0,10712.600000000006,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,baseline,1,fear,10000.0,14326.000000000002,4326.000000000002,0.4326000000000001,0.06668382928121286,20,20,0.45,0.023272927461511238,0,14326.000000000002,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,baseline,3,liquidity,10000.0,14761.400000000003,4761.400000000003,0.47614000000000023,0.07243410832584596,54,54,0.5370370370370371,0.024379993863654862,0,14761.400000000003,0.0,2026-07-31,万三，单边最低5元；100股整数手
all,baseline,3,fear,10000.0,14340.2,4340.200000000001,0.4340200000000001,0.06687361427433047,54,54,0.5185185185185185,0.022820699643526815,0,14340.2,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,fear_greed,1,liquidity,10000.0,10517.9,517.8999999999996,0.05179,0.03294355946694516,2,2,1.0,0.026014035089358508,0,10517.9,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,fear_greed,1,fear,10000.0,10724.399999999998,724.3999999999978,0.07243999999999984,0.045916239928450286,2,2,1.0,0.03637601478357938,0,10724.399999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,fear_greed,3,liquidity,10000.0,10589.4,589.3999999999996,0.05893999999999999,0.03744554678943124,6,6,0.8333333333333334,0.029419512550919555,0,10589.4,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,fear_greed,3,fear,10000.0,10657.699999999999,657.6999999999989,0.06576999999999988,0.041735892307886546,6,6,0.8333333333333334,0.03301920799334785,0,10657.699999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,baseline,1,liquidity,10000.0,10413.800000000003,413.8000000000029,0.041380000000000194,0.026369273105456115,6,6,0.3333333333333333,0.0076637215134636415,0,10413.800000000003,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,baseline,1,fear,10000.0,10618.0,618.0,0.06180000000000008,0.039243292027656196,6,6,0.3333333333333333,0.011129178460050293,0,10618.0,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,baseline,3,liquidity,10000.0,10571.8,571.7999999999993,0.05718000000000001,0.03633837784203364,16,16,0.375,0.01107922697278724,0,10571.8,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation,baseline,3,fear,10000.0,10639.099999999999,639.0999999999985,0.06390999999999991,0.04056848924642509,16,16,0.375,0.012442630664748603,0,10639.099999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,fear_greed,1,liquidity,10000.0,11910.6,1910.6000000000004,0.19106,0.38288349572662095,1,1,1.0,0.19113645458183276,0,11910.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,fear_greed,1,fear,10000.0,11910.6,1910.6000000000004,0.19106,0.38288349572662095,1,1,1.0,0.19113645458183276,0,11910.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,fear_greed,3,liquidity,10000.0,10036.5,36.5,0.003649999999999931,0.006777868426624201,3,2,1.0,0.14126117487515802,1,7675.1,2361.3999999999996,2026-07-31,万三，单边最低5元；100股整数手
shadow,fear_greed,3,fear,10000.0,10539.4,539.3999999999996,0.05393999999999988,0.10230568001890794,3,2,1.0,0.14126117487515802,1,7674.0,2865.4,2026-07-31,万三，单边最低5元；100股整数手
shadow,baseline,1,liquidity,10000.0,11910.6,1910.6000000000004,0.19106,0.38288349572662095,1,1,1.0,0.19113645458183276,0,11910.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,baseline,1,fear,10000.0,11910.6,1910.6000000000004,0.19106,0.38288349572662095,1,1,1.0,0.19113645458183276,0,11910.6,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,baseline,3,liquidity,10000.0,11387.599999999999,1387.5999999999985,0.13875999999999977,0.2724148917389937,3,3,1.0,0.1395198425375296,0,11387.599999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
shadow,baseline,3,fear,10000.0,11387.599999999999,1387.5999999999985,0.13875999999999977,0.2724148917389937,3,3,1.0,0.1395198425375296,0,11387.599999999999,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,fear_greed,1,liquidity,10000.0,12527.5,2527.5,0.25275000000000003,0.15563502621585235,3,3,1.0,0.08107275063103717,0,12527.5,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,fear_greed,1,fear,10000.0,12773.599999999997,2773.5999999999967,0.2773599999999996,0.17015711610719575,3,3,1.0,0.08798741876990573,0,12773.599999999997,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,fear_greed,3,liquidity,10000.0,10583.5,583.5,0.0583499999999999,0.03707446703618045,9,8,0.875,0.05741616092036642,1,7977.299999999999,2606.2,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,fear_greed,3,fear,10000.0,11227.1,1227.1000000000004,0.1227100000000001,0.07712858862947347,9,8,0.875,0.06012708804665058,1,8140.9,3086.2000000000003,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,baseline,1,liquidity,10000.0,12403.600000000002,2403.600000000002,0.24036000000000013,0.14828519505646653,7,7,0.42857142857142855,0.033880312960810045,0,12403.600000000002,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,baseline,1,fear,10000.0,12647.4,2647.3999999999996,0.26474,0.16272283172053092,7,7,0.42857142857142855,0.03685362460698595,0,12647.4,0.0,2026-07-31,万三，单边最低5元；100股整数手
validation_plus_shadow,baseline,3,liquidity,10000.0,12037.899999999998,2037.8999999999978,0.2037899999999997,0.1264366552056908,19,19,0.47368421052631576,0.03138455911306458,0,12037.899999999998,0.0,2026-07-31,万三，单边最低5元；100股整数手
