qvix_weight,entry_threshold,max_hold,greed_threshold,signals,closed,open,wins,win_rate,avg_return,median_return,realized_pnl_per_100,unrealized_pnl_per_100,mark_to_market_pnl_per_100,covered_years,worst_year_win_rate,year_win_rate_std,meaningful_worst_year,selection_score
0.2,45,90,70.0,175,175,0,130,0.7428571428571429,0.06500029657433841,0.042241379310344884,1137.5051900509222,0.0,1137.5051900509222,3,0.0,0.37328839318095713,0.6796116504854369,0.5597573216904951
0.2,45,60,70.0,175,175,0,127,0.7257142857142858,0.06575104093401314,0.04044750430292621,1150.64321634523,0.0,1150.64321634523,3,0.0,0.3692742012124782,0.6504854368932039,0.5473257825276284
0.2,35,90,70.0,236,236,0,164,0.6949152542372882,0.055482720842803354,0.03407576605613205,1309.3922118901592,0.0,1309.3922118901592,3,0.0,0.3342242469459104,0.6793893129770993,0.5364987645202369
0.3,40,90,70.0,194,194,0,139,0.7164948453608248,0.05583135555809352,0.038659793814433074,1083.1282978270144,0.0,1083.1282978270144,3,0.0,0.37365529619479654,0.6239316239316239,0.5359025814640956
0.2,50,90,70.0,134,134,0,97,0.7238805970149254,0.062406861586675716,0.03512016724065259,836.2519452614546,0.0,836.2519452614546,3,0.0,0.37821208923929145,0.6463414634146342,0.5335695996105169
0.2,40,90,70.0,212,212,0,146,0.6886792452830188,0.056494666990815644,0.03696887334908561,1197.6869402052916,0.0,1197.6869402052916,3,0.0,0.33356790965417077,0.6638655462184874,0.5313576885496527
0.3,35,90,70.0,229,229,0,159,0.6943231441048034,0.051635179436751534,0.03299293008641002,1182.44560910161,0.0,1182.44560910161,3,0.0,0.34417479980041776,0.6390977443609023,0.5284010445816916
0.2,30,90,70.0,266,266,0,180,0.6766917293233082,0.05134032812886085,0.032869376758782654,1365.6527282276986,0.0,1365.6527282276986,3,0.0,0.32266263574546117,0.6834532374100719,0.5278859214457432
0.2,35,60,70.0,236,236,0,161,0.6822033898305084,0.055818803400960876,0.03326482077504089,1317.3237602626766,0.0,1317.3237602626766,3,0.0,0.32962014716921,0.6564885496183206,0.5271600664347057
0.3,40,60,70.0,194,194,0,136,0.7010309278350515,0.056712435498241655,0.03404561456509414,1100.221248665888,0.0,1100.221248665888,3,0.0,0.3711280860699912,0.5982905982905983,0.5247469156500766
0.3,45,90,70.0,149,149,0,104,0.697986577181208,0.055939714194272315,0.03421727972626187,833.5017414946575,0.0,833.5017414946575,3,0.0,0.38768493478424365,0.6060606060606061,0.5222058465988568
0.3,30,90,70.0,251,251,0,171,0.6812749003984063,0.047198337468568864,0.02892561983471076,1184.6782704610785,0.0,1184.6782704610785,3,0.0,0.3314043110893726,0.6402877697841727,0.5219678551468214
0.2,40,60,70.0,212,212,0,143,0.6745283018867925,0.05722647920183457,0.03393425238600223,1213.2013590788927,0.0,1213.2013590788927,3,0.0,0.3288480971529912,0.6386554621848739,0.5210612422993467
0.0,55,90,70.0,144,144,0,98,0.6805555555555556,0.035759716215359935,0.03254974029602353,514.9399135011831,0.0,514.9399135011831,3,0.0,0.32762703104262947,0.6716417910447762,0.5197538130049238
0.2,30,60,70.0,266,266,0,177,0.6654135338345865,0.05158990777319682,0.031885614591093514,1372.2915467670355,0.0,1372.2915467670355,3,0.0,0.3177207530044457,0.6618705035971223,0.5194671591598051
0.3,35,60,70.0,229,229,0,156,0.6812227074235808,0.051934572796529514,0.031044214487300215,1189.3017170405258,0.0,1189.3017170405258,3,0.0,0.3408090789449069,0.6165413533834586,0.5188114736028491
0.2,50,60,70.0,134,134,0,94,0.7014925373134329,0.06394104254341268,0.03326482077504089,856.80997008173,0.0,856.80997008173,3,0.0,0.3743430115847524,0.6097560975609756,0.5175808363332691
0.3,30,60,70.0,251,251,0,168,0.6693227091633466,0.047471540567146926,0.02870442203258361,1191.535668235388,0.0,1191.535668235388,3,0.0,0.32771726424618924,0.6187050359712231,0.5131176139794483
0.4,35,90,70.0,212,212,0,140,0.660377358490566,0.046589067601800226,0.02659073055773764,987.6882331581647,0.0,987.6882331581647,3,0.0,0.3258807988377175,0.6287878787878788,0.5100836640568974
0.3,45,60,70.0,149,149,0,101,0.6778523489932886,0.05696919635238931,0.03299293008641002,848.8410256506007,0.0,848.8410256506007,3,0.0,0.38554560505972635,0.5757575757575758,0.5080217948769331
0.0,55,60,70.0,144,144,0,94,0.6527777777777778,0.03940593502645947,0.03254974029602353,567.4454643810163,0.0,567.4454643810163,3,0.0,0.3144044260080136,0.6621621621621622,0.506412342889187
0.4,30,90,70.0,240,240,0,155,0.6458333333333334,0.041789907981424214,0.020127627941905923,1002.9577915541811,0.0,1002.9577915541811,3,0.0,0.3099516923202335,0.6402877697841727,0.50461117374403
0.0,60,90,70.0,113,113,0,78,0.6902654867256637,0.03773781448664184,0.03181336161187698,426.4373036990528,0.0,426.4373036990528,3,0.0,0.33455460313221175,0.6730769230769231,0.5040977005287872
0.4,40,90,70.0,155,155,0,100,0.6451612903225806,0.047912030561219676,0.026315789473684292,742.636473698905,0.0,742.636473698905,3,0.0,0.332980885463365,0.6194690265486725,0.500840535946827
0.4,35,60,70.0,212,212,0,137,0.6462264150943396,0.04683325454263131,0.026075827867541257,992.8649963037838,0.0,992.8649963037838,3,0.0,0.32202542150991825,0.6060606060606061,0.49996857837112507
0.5,30,60,70.0,219,219,0,142,0.6484018264840182,0.040574515563763104,0.022241231822070162,888.5818908464121,0.0,888.5818908464121,3,0.0,0.32345917132807217,0.6086956521739131,0.49977215625279103
0.5,30,90,70.0,219,219,0,142,0.6484018264840182,0.03712907366111377,0.022241231822070162,813.1267131783917,0.0,813.1267131783917,3,0.0,0.32345917132807217,0.6086956521739131,0.4989107957771287
0.0,50,90,70.0,180,180,0,117,0.65,0.032854340393864735,0.03142392218524881,591.3781270895653,0.0,591.3781270895653,3,0.0,0.3141887263502551,0.6,0.49807848699044577
0.4,30,60,70.0,240,240,0,152,0.6333333333333333,0.042005606445825,0.0190566656083897,1008.1345546998001,0.0,1008.1345546998001,3,0.0,0.3053879267070169,0.6187050359712231,0.49554278953724507
0.0,60,60,70.0,113,113,0,75,0.6637168141592921,0.04138187208219539,0.03181336161187698,467.61515452880786,0.0,467.61515452880786,3,0.0,0.32127033261498233,0.6730769230769231,0.4927971202858681
0.5,35,60,70.0,167,167,0,105,0.6287425149700598,0.0447958006037765,0.024836601307189454,748.0898700830675,0.0,748.0898700830675,3,0.0,0.323847108924441,0.6124031007751938,0.4915229040382978
0.5,35,90,70.0,167,167,0,105,0.6287425149700598,0.04027752649191899,0.024836601307189454,672.6346924150471,0.0,672.6346924150471,3,0.0,0.323847108924441,0.6124031007751938,0.4903933355103335
0.4,40,60,70.0,155,155,0,97,0.6258064516129033,0.04890645675770851,0.02583586626139822,758.0500797444819,0.0,758.0500797444819,3,0.0,0.3290315562412661,0.5929203539823009,0.4877453685939226
0.0,65,90,70.0,66,66,0,44,0.6666666666666666,0.037840899830308326,0.025121555915721183,249.74993888003496,0.0,249.74993888003496,2,0.6666666666666666,0.0,0.6666666666666666,0.48679355829091037
0.0,50,60,70.0,180,180,0,112,0.6222222222222222,0.03596523326005124,0.03142392218524881,647.3741986809222,0.0,647.3741986809222,3,0.0,0.29881267528810324,0.6,0.48619740540307566
0.0,45,90,70.0,207,207,0,131,0.6328502415458938,0.031102360554375045,0.03103448275862064,643.8188634755634,0.0,643.8188634755634,3,0.0,0.30560280296265496,0.5729166666666666,0.4856899866745283
0.0,30,90,70.0,270,270,0,170,0.6296296296296297,0.033013307267888044,0.027840216224086722,891.3592962329773,0.0,891.3592962329773,3,0.0,0.30853785691039803,0.5433070866141733,0.479881176071081
0.2,55,90,70.0,81,81,0,56,0.691358024691358,0.06234932269923517,0.038659793814433074,505.0295138638049,0.0,505.0295138638049,3,0.0,0.4143907777608735,0.6507936507936508,0.47973412841866553
0.0,35,90,70.0,256,256,0,160,0.625,0.031341162434496535,0.027840216224086722,802.3337583231113,0.0,802.3337583231113,3,0.0,0.30651140860591747,0.5365853658536586,0.4763021827981995
0.0,40,90,70.0,229,229,0,142,0.6200873362445415,0.030712756502651505,0.026595744680850908,703.3221239107195,0.0,703.3221239107195,3,0.0,0.3014548566721547,0.5462962962962963,0.4755499131586056
0.0,45,60,70.0,207,207,0,126,0.6086956521739131,0.03413449052680199,0.03103448275862064,706.5839539048011,0.0,706.5839539048011,3,0.0,0.2920343761213914,0.5729166666666666,0.4754561986289457
0.0,30,60,70.0,270,270,0,165,0.6111111111111112,0.04000534588845415,0.03087741087083573,1080.144338988262,0.0,1080.144338988262,3,0.0,0.2970008841914799,0.5433070866141733,0.4732928842844767
0.0,35,60,70.0,256,256,0,155,0.60546875,0.037222072446329565,0.02990251337518668,952.8850546260369,0.0,952.8850546260369,3,0.0,0.2941154282392039,0.5365853658536586,0.4689984637304948
