symbol,name,overlay,entry_date,entry_close,exit_date,exit_close,quantity,buy_fee,cost_total,actual_exit_date,actual_exit_close,sell_fee,net_return,net_pnl,status_portfolio
515210,钢铁ETF,baseline,2021-01-11,1.232,2021-05-28,1.558,8100,5.0,9984.2,2021-05-28,1.558,5.0,0.2634762925422167,2630.6000000000004,closed
515210,钢铁ETF,baseline,2021-06-04,1.554,2021-06-24,1.545,8100,5.0,12592.4,2021-06-24,1.545,5.0,-0.006583335980432614,-82.89999999999964,closed
515210,钢铁ETF,baseline,2021-10-11,1.847,2021-12-06,1.711,6700,5.0,12379.9,2021-12-06,1.711,5.0,-0.07441094031454204,-921.1999999999989,closed
159930,能源ETF,baseline,2022-11-08,1.166,2023-01-06,1.062,9900,5.0,11548.4,2023-01-06,1.062,5.0,-0.09002112846801276,-1039.5999999999985,closed
159766,旅游ETF,baseline,2023-03-15,1.073,2023-03-27,1.069,9800,5.0,10520.4,2023-03-27,1.069,5.0,-0.004676628265085047,-49.20000000000073,closed
159811,5G50ETF,baseline,2023-05-08,0.992,2023-06-19,1.15,10600,5.0,10520.2,2023-06-19,1.15,5.0,0.15824794205433332,1664.7999999999975,closed
159611,电力ETF,baseline,2023-08-16,0.914,2023-11-16,0.865,13300,5.0,12161.2,2023-11-16,0.865,5.0,-0.05441074893924947,-661.7000000000007,closed
512660,军工ETF,baseline,2025-01-08,0.965,2025-02-20,1.035,11900,5.0,11488.5,2025-02-20,1.035,5.0,0.07163685424554973,822.9999999999982,closed
159887,银行ETF,baseline,2025-08-28,1.368,2025-11-11,1.371,9000,5.0,12317.000000000002,2025-11-11,1.371,5.0,0.001380206219046698,16.99999999999818,closed
159611,电力ETF,baseline,2026-01-15,1.03,2026-06-04,1.228,12000,5.0,12365.0,2026-06-04,1.228,5.0,0.19134654266073595,2366.0,closed
