variant,window,combo,trades,final,total_ret,ann,win,avg_trade,max_drawdown_trade_curve
forced_all,2019_2026,C,45,14451.853448817938,0.44518534488179373,0.04990129344295724,0.5111111111111111,0.011319569632446755,-0.43581569613661475
forced_all,2019_2026,S,79,13817.623664828881,0.3817623664828882,0.0943473213459114,0.4936708860759494,0.00669994451911646,-0.33510457460055887
forced_all,2019_2026,D,47,19606.613981740633,0.9606613981740633,0.09297878285854422,0.5531914893617021,0.016792345402744626,-0.28386201035929115
forced_all,2019_2026,C+S,77,12836.40199375294,0.28364019937529394,0.033448720067342785,0.4805194805194805,0.006393393862534478,-0.5204960329505143
forced_all,2019_2026,C+D,47,17137.4480847049,0.7137448084704903,0.07419618513722614,0.5319148936170213,0.01409808644523658,-0.28386201035929115
forced_all,2019_2026,S+D,51,16144.945701920433,0.6144945701920432,0.0652252344486941,0.5294117647058824,0.011950851768311583,-0.28386201035929115
forced_all,2019_2026,C+S+D,48,16926.49129956841,0.6926491299568409,0.07202294159432743,0.5416666666666666,0.013594175656087884,-0.28386201035929115
forced_all,2021_2026,C,33,12341.347897114138,0.23413478971141366,0.03851855084482492,0.5151515151515151,0.011945727419752781,-0.4389164684386767
forced_all,2021_2026,S,79,13817.623664828881,0.3817623664828882,0.0943473213459114,0.4936708860759494,0.00669994451911646,-0.33510457460055887
forced_all,2021_2026,D,40,13698.911148952628,0.36989111489526283,0.05817402710074715,0.5,0.010545034998099796,-0.2838620103592915
forced_all,2021_2026,C+S,71,21332.072436536582,1.1332072436536582,0.14596799100394264,0.4647887323943662,0.01524118497539099,-0.41689697031872586
forced_all,2021_2026,C+D,40,11973.733906874162,0.19737339068741622,0.03317358668964987,0.475,0.007379280723027839,-0.2838620103592915
forced_all,2021_2026,S+D,44,11280.28413683482,0.12802841368348195,0.02184729392428042,0.4772727272727273,0.005501241049520117,-0.2838620103592915
forced_all,2021_2026,C+S+D,41,11826.340876208858,0.18263408762088584,0.03062633097161771,0.4878048780487805,0.006953209694810066,-0.2838620103592915
forced_all,past_2y,C,11,15841.70893421667,0.584170893421667,0.2793972487470364,0.7272727272727273,0.04544348895537035,-0.09257525083612028
forced_all,past_2y,S,43,13044.90798798908,0.30449079879890806,0.14565640490100762,0.4883720930232558,0.010310671229779652,-0.2491278464743374
forced_all,past_2y,D,17,12106.49460772151,0.21064946077215096,0.10227703806407629,0.5294117647058824,0.015159595918541723,-0.1869298496307198
forced_all,past_2y,C+S,32,10525.592865143159,0.05255928651431585,0.026588265031705527,0.4375,0.006365290865498855,-0.4488676907281365
forced_all,past_2y,C+D,17,10581.858908468605,0.05818589084686043,0.029949860955176932,0.47058823529411764,0.007710762330137122,-0.21255397754706873
forced_all,past_2y,S+D,21,9969.018529374027,-0.0030981470625972563,-0.001572865598947648,0.47619047619047616,0.003712682708100124,-0.2581583201385549
forced_all,past_2y,C+S+D,18,10451.599436634475,0.045159943663447555,0.022820216312273045,0.5,0.006721851565468343,-0.2222471991133208
forced_all,past_1y,C,5,11311.84402179721,0.13118440217972083,0.15631042955192442,0.4,0.025902358094129673,-0.019087666793559332
forced_all,past_1y,S,21,15280.578985576833,0.5280578985576831,0.5585245766069906,0.42857142857142855,0.02543826212013221,-0.1876946028188583
forced_all,past_1y,D,5,9930.504608838168,-0.006949539116183234,-0.007189836816849704,0.4,-4.8307482675318846e-05,-0.07347670250896066
forced_all,past_1y,C+S,19,13678.749188051683,0.3678749188051682,0.3753552261267661,0.47368421052631576,0.021701654518523794,-0.24071338779025175
forced_all,past_1y,C+D,5,8679.902983114596,-0.13200970168854043,-0.1426416716225103,0.2,-0.025374341683250957,-0.18569065343258895
forced_all,past_1y,S+D,9,8177.21294720616,-0.18227870527938406,-0.18654315393083243,0.3333333333333333,-0.019998703462053697,-0.23285076518301573
forced_all,past_1y,C+S+D,6,8573.056011525592,-0.14269439884744084,-0.14803631504129966,0.3333333333333333,-0.02282688997502595,-0.19571455436634433
fixed_high_score,2019_2026,C,24,15562.26715138282,0.556226715138282,0.06290251450233786,0.5833333333333334,0.023158514420805035,-0.24872348185012016
fixed_high_score,2019_2026,S,42,12580.933125882673,0.2580933125882674,0.06787412261444192,0.5238095238095238,0.00851917098538528,-0.2844943869913773
fixed_high_score,2019_2026,D,17,25948.831469904773,1.5948831469904774,0.13612371230641185,0.7647058823529411,0.05954254980424691,-0.017642341619887647
fixed_high_score,2019_2026,C+S,38,13062.611026251123,0.3062611026251123,0.03753920208220074,0.5526315789473685,0.010722683871240436,-0.3123248166912431
fixed_high_score,2019_2026,C+D,23,19050.91782975919,0.9050917829759191,0.09009415303672741,0.6521739130434783,0.03168452672390446,-0.21450692755814538
fixed_high_score,2019_2026,S+D,38,16882.06313038304,0.688206313038304,0.0714100244089837,0.6052631578947368,0.016851715133122995,-0.3361042189316549
fixed_high_score,2019_2026,C+S+D,37,12438.766757697897,0.24387667576978966,0.02916200033365035,0.5675675675675675,0.009551001747847713,-0.3936850357149656
fixed_high_score,2021_2026,C,19,12559.16143650065,0.255916143650065,0.042340598594480694,0.5263157894736842,0.01737691489918802,-0.24872348185012005
fixed_high_score,2021_2026,S,42,12580.933125882673,0.2580933125882674,0.06787412261444192,0.5238095238095238,0.00851917098538528,-0.2844943869913773
fixed_high_score,2021_2026,D,13,18902.968065896002,0.8902968065896002,0.12517052860942268,0.6923076923076923,0.052012072100998605,-0.017642341619887536
fixed_high_score,2021_2026,C+S,33,10541.872791736756,0.054187279173675496,0.00964979241855013,0.5151515151515151,0.005509667396739033,-0.31232481669124323
fixed_high_score,2021_2026,C+D,17,10795.49055267358,0.07954905526735812,0.014278195236465452,0.5294117647058824,0.007403610110422472,-0.21450692755814538
fixed_high_score,2021_2026,S+D,34,12298.09136531581,0.22980913653158086,0.038188948531832745,0.5588235294117647,0.008949963697042894,-0.3361042189316549
fixed_high_score,2021_2026,C+S+D,31,7048.615201619144,-0.2951384798380856,-0.06140093781095246,0.4838709677419355,-0.008048247680717912,-0.3936850357149656
fixed_high_score,past_2y,C,6,10670.281311293033,0.06702813112930328,0.03369719415753414,0.6666666666666666,0.014258030689245768,-0.15484952351203818
