line,symbol,name,signal_date,entry_date,exit_date,ret,cash_before,cash_after,rank_score,score_detail,variant,window,combo
C,159930,能源ETF,2019-01-02,2019-01-03,2019-03-07,0.2121212121212121,10000.0,12121.212121212122,0.6666666666666666,hit=2/3;selected_score=1.0224229652328765,forced_all,2019_2026,C
C,510880,红利ETF,2019-03-07,2019-03-08,2019-05-09,-0.033297529538131,12121.212121212122,11717.60570256811,0.0,hit=0/5;selected_score=2.104271982082723,forced_all,2019_2026,C
C,512950,央企改革ETF,2019-05-09,2019-05-10,2019-07-08,0.0020366598778003,11717.60570256811,11741.470479966414,1.0,hit=5/5;selected_score=0.2052185486730131,forced_all,2019_2026,C
C,512400,有色金属ETF,2019-07-08,2019-07-09,2019-09-03,0.0514018691588784,11741.470479966414,12345.004009310482,0.3333333333333333,hit=1/3;selected_score=1.0224229652328765,forced_all,2019_2026,C
C,510880,红利ETF,2019-09-03,2019-09-04,2019-11-07,-0.0049733570159856,12345.004009310482,12283.607897008407,0.0,hit=0/5;selected_score=2.104271982082723,forced_all,2019_2026,C
C,510880,红利ETF,2019-11-07,2019-11-08,2020-01-06,0.0465782873522033,12283.607897008407,12855.75731535706,0.0,hit=0/5;selected_score=2.104271982082723,forced_all,2019_2026,C
C,159930,能源ETF,2020-01-10,2020-01-13,2020-03-17,-0.172461752433936,12855.75731535706,10638.630879885188,0.6666666666666666,hit=2/3;selected_score=0.8395419125568604,forced_all,2019_2026,C
C,159930,能源ETF,2020-03-17,2020-03-18,2020-05-19,-0.0086058519793459,10638.630879885188,10547.076397269997,0.6666666666666666,hit=2/3;selected_score=0.8395419125568604,forced_all,2019_2026,C
C,510880,红利ETF,2020-05-19,2020-05-20,2020-07-17,0.090458488228005,10547.076397269997,11501.148983392315,0.6,hit=3/5;selected_score=0.5955656731105526,forced_all,2019_2026,C
C,515210,钢铁ETF,2020-07-17,2020-07-20,2020-09-14,0.0120068610634649,11501.148983392315,11639.241681306117,0.6666666666666666,hit=2/3;selected_score=0.8395419125568604,forced_all,2019_2026,C
C,512950,央企改革ETF,2020-09-14,2020-09-15,2020-11-18,0.0407196969696967,11639.241681306117,12113.188075525966,1.0,hit=5/5;selected_score=0.3035698322814436,forced_all,2019_2026,C
C,159902,中小板ETF,2020-11-18,2020-11-19,2021-01-15,0.1114827201783723,12113.188075525966,13463.599232217824,1.0,hit=5/5;selected_score=0.5955656731105526,forced_all,2019_2026,C
C,512400,有色金属ETF,2021-01-15,2021-01-18,2021-03-22,-0.0147737765466297,13463.599232217824,13264.691025647664,0.75,hit=3/4;selected_score=0.9106525611216468,forced_all,2019_2026,C
C,159902,中小板ETF,2021-03-22,2021-03-23,2021-05-24,0.0548039440495298,13264.691025647664,13991.648410451558,0.6,hit=3/5;selected_score=0.5241558570254087,forced_all,2019_2026,C
C,159930,能源ETF,2021-05-24,2021-05-25,2021-07-21,0.0493150684931507,13991.648410451558,14681.64751014506,0.75,hit=3/4;selected_score=0.9106525611216468,forced_all,2019_2026,C
C,512880,证券ETF,2021-07-21,2021-07-22,2021-09-16,0.0723327305605785,14681.64751014506,15743.611163681771,0.25,hit=1/4;selected_score=2.3524022655757726,forced_all,2019_2026,C
C,512660,军工ETF,2021-09-16,2021-09-17,2021-11-23,0.1494435612082669,15743.611163681771,18096.392482260602,0.6,hit=3/5;selected_score=0.6127133230906227,forced_all,2019_2026,C
C,515210,钢铁ETF,2021-11-23,2021-11-24,2022-01-20,-0.0369068541300527,18096.392482260602,17428.51156463763,0.25,hit=1/4;selected_score=0.9106525611216468,forced_all,2019_2026,C
C,159813,半导体ETF鹏华,2022-01-20,2022-01-21,2022-03-25,-0.0865384615384616,17428.51156463763,15920.274986928604,0.8,hit=4/5;selected_score=73869226391.63521,forced_all,2019_2026,C
C,512720,计算机ETF,2022-03-25,2022-03-28,2022-05-30,-0.1272563176895308,15920.274986928604,13894.319415487325,0.6,hit=3/5;selected_score=73869226391.63521,forced_all,2019_2026,C
C,512720,计算机ETF,2022-05-30,2022-05-31,2022-07-27,0.062753036437247,13894.319415487325,14766.23014803815,0.4,hit=2/5;selected_score=73869226391.63521,forced_all,2019_2026,C
C,516970,基建ETF,2022-07-27,2022-07-28,2022-09-23,-0.0717372515125324,14766.23014803815,13706.941382016399,0.6,hit=3/5;selected_score=0.5492349920969236,forced_all,2019_2026,C
C,159813,半导体ETF鹏华,2022-09-23,2022-09-26,2022-11-28,0.0,13706.941382016399,13706.941382016399,0.8,hit=4/5;selected_score=73869226391.63521,forced_all,2019_2026,C
C,512660,军工ETF,2022-11-28,2022-11-29,2023-02-01,0.019349164467898,13706.941382016399,13972.159245168872,0.4,hit=2/5;selected_score=0.5492349920969236,forced_all,2019_2026,C
C,159825,农业ETF,2023-02-01,2023-02-02,2023-03-30,-0.0670329670329671,13972.159245168872,13035.5639551081,0.6,hit=3/5;selected_score=0.2802254631310315,forced_all,2019_2026,C
C,512660,军工ETF,2023-03-30,2023-03-31,2023-06-01,-0.0045829514207148,13035.5639551081,12975.822598760218,0.6,hit=3/5;selected_score=0.6693244330852537,forced_all,2019_2026,C
C,159666,交通运输ETF,2023-06-01,2023-06-02,2023-08-01,0.0511182108626198,12975.822598760218,13639.12343447959,1.0,hit=5/5;selected_score=0.6693244330852537,forced_all,2019_2026,C
C,515170,食品饮料ETF,2023-08-01,2023-08-02,2023-09-27,-0.0660247592847317,13639.12343447959,12738.603592863332,0.6,hit=3/5;selected_score=0.2802254631310315,forced_all,2019_2026,C
C,512660,军工ETF,2023-09-27,2023-09-28,2023-12-01,-0.0229083665338645,12738.603592863332,12446.782992628416,0.8,hit=4/5;selected_score=0.6693244330852537,forced_all,2019_2026,C
C,515790,光伏ETF,2023-12-01,2023-12-04,2024-01-30,-0.0870588235294117,12446.782992628416,11363.180708564296,0.75,hit=3/4;selected_score=0.3858103633572226,forced_all,2019_2026,C
C,515170,食品饮料ETF,2024-01-30,2024-01-31,2024-04-08,0.104882459312839,11363.180708564296,12554.979046894729,0.8,hit=4/5;selected_score=5.418702806095758,forced_all,2019_2026,C
C,515790,光伏ETF,2024-04-08,2024-04-09,2024-06-07,-0.0965435041716328,12554.979046894729,11342.877374906084,0.75,hit=3/4;selected_score=0.3858103633572226,forced_all,2019_2026,C
C,512400,有色金属ETF,2024-06-07,2024-06-11,2024-08-06,-0.0999020568070517,11342.877374906084,10209.700595042796,0.5,hit=2/4;selected_score=0.8348871811583229,forced_all,2019_2026,C
