signal_date,line,symbol,name,rank_score,score_detail,entry_date,exit_date,completed,ret,completed_bool,year,policy,q,threshold
2021-01-04,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-05,2021-03-04,True,0.2447665056360708,True,2021,profit,0.0,0.0
2021-01-05,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-06,2021-03-04,True,0.2457695406929894,True,2021,profit,0.0,0.0
2021-01-06,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-07,2021-03-04,True,0.2202052091554855,True,2021,profit,0.0,0.0
2021-01-07,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-08,2021-03-04,True,0.2154088050314466,True,2021,profit,0.0,0.0
2021-01-08,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-11,2021-03-04,True,0.2548701298701299,True,2021,profit,0.0,0.0
2021-01-11,C,510880,红利ETF,0.4,hit=2/5;selected_score=0.5241558570254087,2021-01-12,2021-03-16,True,0.0158554572271385,True,2021,profit,0.0,0.0
2021-01-12,C,515210,钢铁ETF,0.25,hit=1/4;selected_score=0.9106525611216468,2021-01-13,2021-03-04,True,0.2397754611066558,True,2021,profit,0.0,0.0
2021-01-13,C,512400,有色金属ETF,0.5,hit=2/4;selected_score=0.9106525611216468,2021-01-14,2021-03-18,True,0.0331753554502372,True,2021,profit,0.0,0.0
2021-01-14,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-15,2021-03-19,True,0.0,True,2021,profit,0.0,0.0
2021-01-15,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-18,2021-03-22,True,-0.0147737765466297,True,2021,profit,0.0,0.0
2021-01-18,C,512400,有色金属ETF,0.5,hit=2/4;selected_score=0.9106525611216468,2021-01-19,2021-03-23,True,-0.0191387559808612,True,2021,profit,0.0,0.0
2021-01-19,C,512400,有色金属ETF,0.75,hit=3/4;selected_score=0.9106525611216468,2021-01-20,2021-03-24,True,-0.0865116279069767,True,2021,profit,0.0,0.0
2021-01-20,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-21,2021-03-25,True,0.0267891312667432,True,2021,profit,0.0,0.0
2021-01-21,C,510880,红利ETF,0.4,hit=2/5;selected_score=0.5241558570254087,2021-01-22,2021-03-26,True,0.0486674391657009,True,2021,profit,0.0,0.0
2021-01-22,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-25,2021-03-29,True,0.077133907595928,True,2021,profit,0.0,0.0
2021-01-25,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-26,2021-03-30,True,0.081399921352733,True,2021,profit,0.0,0.0
2021-01-26,C,510880,红利ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-01-27,2021-03-31,True,0.0790715971675846,True,2021,profit,0.0,0.0
2021-01-27,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-01-28,2021-04-01,True,-0.1484184914841849,True,2021,profit,0.0,0.0
2021-01-28,C,159930,能源ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-01-29,2021-04-02,True,0.0753532182103611,True,2021,profit,0.0,0.0
2021-01-29,C,515210,钢铁ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-02-01,2021-03-04,True,0.2548701298701299,True,2021,profit,0.0,0.0
2021-02-01,C,515210,钢铁ETF,1.0,hit=4/4;selected_score=0.9106525611216468,2021-02-02,2021-03-04,True,0.2447665056360708,True,2021,profit,0.0,0.0
2021-02-02,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-03,2021-04-08,True,-0.0929432013769362,True,2021,profit,0.0,0.0
2021-02-03,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-04,2021-04-09,True,-0.074106364428945,True,2021,profit,0.0,0.0
2021-02-04,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-05,2021-04-12,True,-0.0837043633125557,True,2021,profit,0.0,0.0
2021-02-05,C,512950,央企改革ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-08,2021-04-13,True,-0.0301204819277107,True,2021,profit,0.0,0.0
2021-02-08,C,512660,军工ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-02-09,2021-04-14,True,-0.1327212020033389,True,2021,profit,0.0,0.0
2021-02-09,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-02-10,2021-04-15,True,-0.1272114574557709,True,2021,profit,0.0,0.0
2021-02-10,C,512660,军工ETF,0.6,hit=3/5;selected_score=0.6127133230906227,2021-02-18,2021-04-16,True,-0.1187446988973707,True,2021,profit,0.0,0.0
2021-02-18,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-19,2021-04-19,True,-0.112141652613828,True,2021,profit,0.0,0.0
2021-02-19,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-22,2021-04-20,True,-0.0832602979842243,True,2021,profit,0.0,0.0
2021-02-22,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-23,2021-04-21,True,-0.1195928753180661,True,2021,profit,0.0,0.0
2021-02-23,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-24,2021-04-22,True,-0.1173469387755101,True,2021,profit,0.0,0.0
2021-02-24,C,512660,军工ETF,0.4,hit=2/5;selected_score=0.6127133230906227,2021-02-25,2021-04-23,True,-0.1376146788990826,True,2021,profit,0.0,0.0
2021-02-25,C,159902,中小板ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-02-26,2021-04-26,True,-0.0557411273486431,True,2021,profit,0.0,0.0
2021-02-26,C,159902,中小板ETF,0.8,hit=4/5;selected_score=0.5241558570254087,2021-03-01,2021-04-27,True,-0.0813717532467531,True,2021,profit,0.0,0.0
2021-03-01,C,159902,中小板ETF,1.0,hit=5/5;selected_score=0.5241558570254087,2021-03-02,2021-04-28,True,-0.0720684039087947,True,2021,profit,0.0,0.0
2021-03-02,C,159902,中小板ETF,0.8,hit=4/5;selected_score=0.5241558570254087,2021-03-03,2021-04-29,True,-0.0751864543438822,True,2021,profit,0.0,0.0
2021-03-03,C,159902,中小板ETF,0.6,hit=3/5;selected_score=0.5241558570254087,2021-03-04,2021-04-30,True,-0.0435419719489219,True,2021,profit,0.0,0.0
2021-03-04,C,159902,中小板ETF,0.8,hit=4/5;selected_score=0.5241558570254087,2021-03-05,2021-05-06,True,-0.0593521421107627,True,2021,profit,0.0,0.0
2021-03-05,C,159902,中小板ETF,0.8,hit=4/5;selected_score=0.5241558570254087,2021-03-08,2021-05-07,True,-0.0369967355821545,True,2021,profit,0.0,0.0
2021-03-08,C,512660,军工ETF,0.8,hit=4/5;selected_score=0.6127133230906227,2021-03-09,2021-05-10,True,-0.0316831683168317,True,2021,profit,0.0,0.0
2021-03-09,C,512950,央企改革ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-03-10,2021-05-11,True,0.0168439716312058,True,2021,profit,0.0,0.0
2021-03-10,C,512950,央企改革ETF,1.0,hit=5/5;selected_score=0.6127133230906227,2021-03-11,2021-05-12,True,-0.0008710801393727,True,2021,profit,0.0,0.0
