variant,combo,signals,closed,open,win,avg,sum,pnl_per_1000
baseline_forced,C,1356,1315,41,0.4897338403041825,0.006031908964940827,7.931960288897187,7931.960288897188
baseline_forced,S,869,858,11,0.46503496503496505,0.006173963866220978,5.297260997217599,5297.260997217599
baseline_forced,D,1355,1269,86,0.5736800630417652,0.02195183487682653,27.85687845869287,27856.878458692867
baseline_forced,C+S,2225,2173,52,0.49739776951672865,0.004917926128667208,6.614610643057395,6614.610643057395
baseline_forced,C+D,2711,2584,127,0.5379939209726444,0.013597583110786498,17.89441937379503,17894.41937379503
baseline_forced,S+D,2224,2127,97,0.562081784386617,0.012324958905542924,16.577069727955234,16577.069727955233
baseline_forced,C+S+D,3580,3442,138,0.5345724907063197,0.010182428685206359,13.695366581602553,13695.366581602553
line_single_position,C,34,33,1,0.5151515151515151,0.011945727419752781,0.3942090048518418,394.20900485184177
line_single_position,S,80,79,1,0.4936708860759494,0.00669994451911646,0.5292956170102003,529.2956170102003
line_single_position,D,40,39,1,0.48717948717948717,0.010673952783196959,0.4162841585446814,416.2841585446814
line_single_position,C+S,114,112,2,0.5,0.004197748281191101,0.46175231093102115,461.75231093102116
line_single_position,C+D,74,72,2,0.5072463768115942,0.0058731388651921965,0.40524658169826155,405.24658169826154
line_single_position,S+D,120,118,2,0.5,0.004221338283727151,0.4727898877774409,472.7898877774409
line_single_position,C+S+D,154,151,3,0.5071428571428571,0.003189973286682676,0.44659626013557463,446.59626013557465
line_symbol_single_position,C,210,205,5,0.4682926829268293,0.0018284118705311238,0.3748244334588804,374.8244334588804
line_symbol_single_position,S,211,206,5,0.44660194174757284,0.004197466671799566,0.8646781343907106,864.6781343907106
line_symbol_single_position,D,241,227,14,0.5726872246696035,0.015008308600419105,3.4068860522951367,3406.886052295137
line_symbol_single_position,C+S,421,411,10,0.45910290237467016,0.0016352276620706994,0.6197512839247951,619.7512839247951
line_symbol_single_position,C+D,451,432,19,0.528395061728395,0.004668778377474095,1.8908552428770085,1890.8552428770085
line_symbol_single_position,S+D,452,433,19,0.5103626943005182,0.005533114231458351,2.1357820933429235,2135.7820933429234
line_symbol_single_position,C+S+D,662,638,24,0.49814126394052044,0.002878803358206151,1.5487962067149093,1548.7962067149092
fixed_high_score,C,215,210,5,0.5666666666666667,0.03696200247496401,7.762020519742443,7762.020519742443
fixed_high_score,S,182,177,5,0.536723163841808,0.019958645500393096,3.532680253569578,3532.680253569578
fixed_high_score,D,240,187,53,0.6844919786096256,0.0513046762198088,9.593974453104245,9593.974453104245
fixed_high_score,C+S,397,387,10,0.5481927710843374,0.017010091526072323,5.647350386656011,5647.35038665601
fixed_high_score,C+D,455,397,58,0.6156156156156156,0.02606005251178181,8.677997486423344,8677.997486423345
fixed_high_score,S+D,422,364,58,0.6127167630057804,0.018969154200395702,6.563327353336913,6563.327353336913
fixed_high_score,C+S+D,637,574,63,0.5853658536585366,0.015438784350640255,6.962891742138755,6962.891742138755
fixed_high_score_line_single,C,19,19,0,0.5263157894736842,0.01737691489918802,0.3301613830845724,330.1613830845724
fixed_high_score_line_single,S,42,42,0,0.5238095238095238,0.00851917098538528,0.3578051813861817,357.80518138618174
fixed_high_score_line_single,D,14,13,1,0.6923076923076923,0.052012072100998605,0.6761569373129819,676.1569373129819
fixed_high_score_line_single,C+S,61,61,0,0.5263157894736842,0.006034794425182053,0.34398328223537705,343.98328223537703
fixed_high_score_line_single,C+D,33,32,1,0.5666666666666667,0.016771972006625904,0.5031591601987772,503.15916019877716
fixed_high_score_line_single,S+D,56,55,1,0.5555555555555556,0.009573723321288554,0.5169810593495819,516.981059349582
fixed_high_score_line_single,C+S+D,75,74,1,0.5373134328358209,0.006786684088476299,0.45470783392791203,454.707833927912
rolling_win_tradefloor,C,811,800,11,0.39875,-0.009713922905115082,-7.771138324092065,-7771.138324092065
rolling_win_tradefloor,S,428,423,5,0.4799054373522459,0.012710079208017606,5.376363504991447,5376.363504991447
rolling_win_tradefloor,D,337,270,67,0.6407407407407407,0.042985748468346685,11.606152086453605,11606.152086453605
rolling_win_tradefloor,C+S,1239,1223,16,0.428714859437751,-0.0012021961943276206,-1.19738740955031,-1197.3874095503102
rolling_win_tradefloor,C+D,1148,1070,78,0.419811320754717,0.0022612109447886467,1.9175068811807723,1917.5068811807723
rolling_win_tradefloor,S+D,765,693,72,0.5389408099688473,0.01322625824878898,8.491257795722525,8491.257795722526
rolling_win_tradefloor,C+S+D,1576,1493,83,0.44358727097396333,0.002960905582562837,3.070459089117662,3070.459089117662
rolling_win_tradefloor_line_single,C,28,28,0,0.39285714285714285,0.001426718785715279,0.03994812600002781,39.94812600002781
rolling_win_tradefloor_line_single,S,52,51,1,0.45098039215686275,0.004396593689817825,0.22422627818070906,224.22627818070907
rolling_win_tradefloor_line_single,D,16,15,1,0.8666666666666667,0.06656178215700097,0.9984267323550144,998.4267323550145
rolling_win_tradefloor_line_single,C+S,80,79,1,0.4155844155844156,0.0017154182089658273,0.1320872020903687,132.0872020903687
rolling_win_tradefloor_line_single,C+D,44,43,1,0.5581395348837209,0.01207412625994235,0.519187429177521,519.187429177521
rolling_win_tradefloor_line_single,S+D,68,66,2,0.5454545454545454,0.009262522807088813,0.6113265052678617,611.3265052678616
rolling_win_tradefloor_line_single,C+S+D,96,94,2,0.4891304347826087,0.004574641799042577,0.42086704551191706,420.86704551191707
