line,symbol,entry_date,exit_date,ret,cash_before,cash_after,exit_reason,line_eval,variant
C,515210,2021-01-05,2021-03-04,0.2447665056360708,10000.0,12447.665056360709,original,C,baseline
C,159902,2021-03-05,2021-05-06,-0.0593521421107627,12447.665056360709,11708.869470988413,original,C,baseline
C,512880,2021-05-07,2021-07-05,0.0407149950347569,11708.869470988413,12185.596033362324,original,C,baseline
C,159930,2021-07-06,2021-08-31,0.2010309278350515,12185.596033362324,14635.277710172275,original,C,baseline
C,512880,2021-09-01,2021-11-05,-0.0658119658119658,14635.277710172275,13672.101313861793,original,C,baseline
C,516970,2021-11-08,2022-01-04,0.1094890510948904,13672.101313861793,15169.046713189726,original,C,baseline
C,159813,2022-01-05,2022-03-09,-0.0868232890704799,15169.046713189726,13852.020185486841,original,C,baseline
C,512950,2022-03-10,2022-05-12,-0.0866721177432543,13852.020185486841,12651.43626098839,original,C,baseline
C,159811,2022-05-13,2022-07-11,0.0724137931034483,12651.43626098839,13567.574748853067,original,C,baseline
C,159930,2022-07-12,2022-09-06,0.1987179487179486,13567.574748853067,16263.695372022587,original,C,baseline
C,159813,2022-09-07,2022-11-10,-0.1192052980132448,16263.695372022587,14324.976718404005,original,C,baseline
C,512660,2022-11-11,2023-01-09,-0.0695876288659793,14324.976718404005,13328.135555009912,original,C,baseline
C,159825,2023-01-10,2023-03-14,0.0150637311703361,13328.135555009912,13528.90700601238,original,C,baseline
C,516750,2023-03-15,2023-05-16,-0.1162280701754385,13528.90700601238,11956.46825312059,original,C,baseline
C,512950,2023-05-17,2023-07-14,0.0328125000000001,11956.46825312059,12348.789867676112,original,C,baseline
C,515170,2023-07-17,2023-09-11,0.0174418604651163,12348.789867676112,12564.17573746116,original,C,baseline
C,515790,2023-09-12,2023-11-15,-0.0577864838393731,12564.17573746116,11838.136199253317,original,C,baseline
C,515790,2023-11-16,2024-01-12,-0.055793991416309,11838.136199253317,11177.63932976708,original,C,baseline
C,512950,2024-01-15,2024-03-19,0.104888888888889,11177.63932976708,12350.049499467095,original,C,baseline
C,515790,2024-03-20,2024-05-22,-0.0653889515219843,12350.049499467095,11542.492711452334,original,C,baseline
