line,variant,year,q,threshold,train_retention,test_signals,test_kept,reason
C,roll_q_profit_keep70,2021,0.0,0.0,1.0,243.0,243.0,
C,roll_q_profit_keep70,2022,0.15,0.2,0.8561643835616438,242.0,242.0,
C,roll_q_profit_keep70,2023,0.15,0.2,0.8919753086419753,242.0,242.0,
C,roll_q_profit_keep70,2024,0.1,0.2,0.913509060955519,242.0,242.0,
C,roll_q_profit_keep70,2025,0.1,0.2,0.9278846153846154,243.0,243.0,
C,roll_q_profit_keep70,2026,0.1,0.2,0.9381989405532666,144.0,144.0,
C,roll_q_balanced_keep70,2021,0.0,0.0,1.0,243.0,243.0,
C,roll_q_balanced_keep70,2022,0.0,0.0,1.0,242.0,242.0,
C,roll_q_balanced_keep70,2023,0.15,0.2,0.8919753086419753,242.0,242.0,
C,roll_q_balanced_keep70,2024,0.1,0.2,0.913509060955519,242.0,242.0,
C,roll_q_balanced_keep70,2025,0.1,0.2,0.9278846153846154,243.0,243.0,
C,roll_q_balanced_keep70,2026,0.0,0.0,1.0,144.0,144.0,
C,roll_q_win_keep70,2021,0.0,0.0,1.0,243.0,243.0,
C,roll_q_win_keep70,2022,0.0,0.0,1.0,242.0,242.0,
C,roll_q_win_keep70,2023,0.0,0.0,1.0,242.0,242.0,
C,roll_q_win_keep70,2024,0.0,0.0,1.0,242.0,242.0,
C,roll_q_win_keep70,2025,0.0,0.0,1.0,243.0,243.0,
C,roll_q_win_keep70,2026,0.0,0.0,1.0,144.0,144.0,
C,roll_q_profit_keep80,2021,0.0,0.0,1.0,243.0,243.0,
C,roll_q_profit_keep80,2022,0.15,0.2,0.8561643835616438,242.0,242.0,
C,roll_q_profit_keep80,2023,0.15,0.2,0.8919753086419753,242.0,242.0,
C,roll_q_profit_keep80,2024,0.1,0.2,0.913509060955519,242.0,242.0,
C,roll_q_profit_keep80,2025,0.1,0.2,0.9278846153846154,243.0,243.0,
C,roll_q_profit_keep80,2026,0.1,0.2,0.9381989405532666,144.0,144.0,
C,roll_q_balanced_keep80,2021,0.0,0.0,1.0,243.0,243.0,
C,roll_q_balanced_keep80,2022,0.0,0.0,1.0,242.0,242.0,
