line,year,selected_variant,score,train_n,train_win,train_avg,train_sum
C,2021,baseline,21.568749837502683,487,0.6529774127310062,0.04077021129183234,19.855092899122347
C,2022,tp20,35.54273192513349,730,0.6657534246575343,0.04623138523759245,33.74891122344249
C,2023,tp20,28.9530344549133,972,0.6039094650205762,0.03039487134645327,29.543814948752576
C,2024,tp20,13.168889820339107,1214,0.5181219110378913,0.014693912328039111,17.83840956623948
C,2025,tp20,18.02339097114234,1456,0.5082417582417582,0.015593185638414303,22.703678289531226
C,2026,tp20,30.229578793352623,1699,0.5509123013537375,0.02046837734458847,34.77577310845581
S,2023,baseline,,0,,,
S,2024,D_best,1.0364837013201669,240,0.44583333333333336,0.0005792681386140002,0.13902435326736007
S,2025,C_best,0.880560125219383,482,0.44813278008298757,5.691708222187918e-05,0.027434033630945764
S,2026,tp15,8.363439219062363,725,0.4731034482758621,0.010138325918756297,7.350286291098316
D,2021,tp20,26.719613818305863,487,0.6796714579055442,0.051026702017092106,24.850003882323854
D,2022,tp20,36.859277974384305,730,0.6643835616438356,0.04801420385283329,35.0503688125683
D,2023,tp15,44.63689034486567,972,0.6491769547325102,0.04413292916028579,42.89720714379779
D,2024,tp15,46.0266138508254,1214,0.6235584843492586,0.03658455627624745,44.413651319364405
D,2025,tp15,64.0801107098432,1456,0.6318681318681318,0.04284882295095971,62.38788621659734
D,2026,tp15,68.38154675755953,1699,0.6286050618010595,0.039276967018114346,66.73156696377627
V,2021,baseline,,0,,,
V,2022,tp20,12.42198589202944,142,0.676056338028169,0.07530525997260613,10.693346916110071
V,2023,tp20,12.257378387616805,146,0.6712328767123288,0.07228418963041158,10.553491686040092
V,2025,baseline,40.66137317875297,232,0.7068965517241379,0.16560160369326873,38.41957205683835
V,2026,baseline,46.04022282959835,251,0.7290836653386454,0.17414865429266038,43.71131222745775
