signals,closed,open,signal_retention,win_rate,avg_closed_ret,realized_pnl,unrealized_pnl,total_pnl,max_concurrent_batches,min_capital,variant,gap_days,pass70,pnl_per_100_capital
373,251,122,1.0,0.7290836653386454,0.17414865429266044,4371.131222745776,-1957.1162701441378,2414.0149526016376,258,25800,baseline_ma120_dca,0,True,9.356647103107123
240,163,77,0.6434316353887399,0.7361963190184049,0.17607491617161952,2870.021133597398,-1232.0246498432698,1637.9964837541283,164,16400,symbol_gap_1d,1,False,9.987783437525174
199,139,60,0.5335120643431636,0.7410071942446043,0.16671425775873847,2317.3281828464646,-970.3912111134103,1346.9369717330542,138,13800,symbol_gap_2d,2,False,9.76041283864532
146,105,41,0.3914209115281501,0.7428571428571429,0.17129980116367513,1798.6479122185885,-660.1088242047487,1138.5390880138398,99,9900,symbol_gap_3d,3,False,11.500394828422623
131,95,36,0.3512064343163539,0.7473684210526316,0.16094482363047072,1528.9758244894722,-575.3563716924425,953.6194527970297,90,9000,symbol_gap_5d,5,False,10.595771697744775
93,69,24,0.24932975871313673,0.7391304347826086,0.17106716539186823,1180.3634412038914,-394.1563618437864,786.207079360105,63,6300,symbol_gap_8d,8,False,12.479477450160397
86,64,22,0.23056300268096513,0.75,0.1713559076536531,1096.6778089833797,-328.22317316975676,768.4546358136229,57,5700,symbol_gap_10d,10,False,13.481660277431981
70,54,16,0.1876675603217158,0.7407407407407407,0.15087439229659516,814.7217184016138,-251.36206327859128,563.3596551230225,46,4600,symbol_gap_15d,15,False,12.246949024413533
66,51,15,0.1769436997319035,0.7254901960784313,0.14966878772824874,763.3108174140685,-202.4518828750417,560.8589345390269,44,4400,symbol_gap_20d,20,False,12.746793966796066
55,43,12,0.14745308310991956,0.7441860465116279,0.1579139659134737,679.030053427937,-133.13517583645387,545.8948775914831,35,3500,symbol_gap_30d,30,False,15.596996502613802
52,41,11,0.13941018766756033,0.7560975609756098,0.1592174598116864,652.7915852279142,-118.00674163214796,534.7848435957662,32,3200,symbol_gap_40d,40,False,16.712026362367695
