test_year,rule,buy_combo,sell_combo,symbol,name,entry_date,exit_date,entry_close,exit_close,hold_days,status,return_rate,pnl_cny,mark_close,unrealized_return,unrealized_pnl_cny,year,variant
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512880,证券ETF,2021-01-04,2024-10-09,1.232,1.179,909.0,closed,-0.0430194805194804,-4.301948051948045,1.107,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-04,2025-08-04,1.254,1.388,1110.0,closed,0.1068580542264752,10.68580542264752,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-05,2025-08-04,1.242,1.388,1109.0,closed,0.1175523349436391,11.755233494363914,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-06,2025-08-04,1.241,1.388,1108.0,closed,0.1184528605962931,11.845286059629313,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-07,2025-08-04,1.267,1.388,1107.0,closed,0.0955011838989738,9.550118389897388,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-08,2025-08-04,1.272,1.388,1106.0,closed,0.0911949685534589,9.1194968553459,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-11,2025-08-04,1.232,1.388,1105.0,closed,0.1266233766233766,12.662337662337665,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-19,2025-08-04,1.25,1.388,1099.0,closed,0.1103999999999998,11.039999999999983,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-20,2025-08-04,1.29,1.388,1098.0,closed,0.0759689922480619,7.596899224806197,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-21,2025-08-04,1.292,1.388,1097.0,closed,0.0743034055727553,7.430340557275539,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-22,2025-08-04,1.274,1.388,1096.0,closed,0.0894819466248035,8.948194662480358,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-01-25,2025-08-04,1.265,1.388,1095.0,closed,0.0972332015810277,9.723320158102776,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-02,2021-07-02,0.644,0.759,98.0,closed,0.1785714285714286,17.85714285714286,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-02-02,2024-10-09,1.442,1.28,888.0,closed,-0.1123439667128987,-11.23439667128987,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-02,2025-08-04,1.242,1.388,1089.0,closed,0.1175523349436391,11.755233494363914,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-03,2021-07-02,0.645,0.759,97.0,closed,0.1767441860465115,17.674418604651155,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-02-03,2024-10-09,1.428,1.28,887.0,closed,-0.103641456582633,-10.364145658263302,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-03,2025-08-04,1.261,1.388,1088.0,closed,0.1007137192704203,10.07137192704204,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-04,2021-07-02,0.647,0.759,96.0,closed,0.1731066460587325,17.31066460587325,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-02-04,2024-10-09,1.422,1.28,886.0,closed,-0.0998593530239099,-9.985935302390992,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-04,2025-08-04,1.246,1.388,1087.0,closed,0.1139646869983947,11.39646869983948,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-05,2021-07-02,0.633,0.759,95.0,closed,0.1990521327014218,19.905213270142184,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-02-05,2024-10-09,1.424,1.28,885.0,closed,-0.1011235955056178,-10.11235955056179,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-05,2025-08-04,1.238,1.388,1086.0,closed,0.121163166397415,12.116316639741507,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-02-08,2024-10-09,1.428,1.28,884.0,closed,-0.103641456582633,-10.364145658263302,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-08,2025-08-04,1.232,1.388,1085.0,closed,0.1266233766233766,12.662337662337665,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-09,2021-07-02,0.661,0.759,93.0,closed,0.1482602118003024,14.826021180030246,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-09,2025-10-10,1.198,1.481,1127.0,closed,0.2362270450751253,23.622704507512537,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-09,2025-08-04,1.25,1.388,1084.0,closed,0.1103999999999998,11.039999999999983,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-10,2021-07-02,0.662,0.759,92.0,closed,0.1465256797583081,14.65256797583081,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-10,2025-08-04,1.187,1.199,1083.0,closed,0.0101095197978096,1.0109519797809607,1.093,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-10,2025-10-10,1.215,1.481,1126.0,closed,0.2189300411522634,21.893004115226343,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-10,2025-08-04,1.259,1.388,1083.0,closed,0.1024622716441621,10.246227164416212,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159930,能源ETF,2021-02-18,2021-07-02,0.7,0.759,91.0,closed,0.0842857142857143,8.42857142857143,1.673,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512660,军工ETF,2021-02-18,2025-08-04,1.179,1.199,1082.0,closed,0.01696352841391,1.6963528413910025,1.093,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-02-18,2025-10-10,1.219,1.481,1125.0,closed,0.2149302707136997,21.493027071369973,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-02-18,2025-08-04,1.328,1.388,1082.0,closed,0.0451807228915661,4.518072289156616,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-02,2025-09-02,4.912,4.035,1095.0,closed,-0.1785423452768729,-17.854234527687296,4.5,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-03-02,2024-10-09,1.376,1.28,873.0,closed,-0.069767441860465,-6.976744186046502,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-03,2025-09-02,4.961,4.035,1094.0,closed,-0.1866559161459383,-18.66559161459384,4.5,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-03-03,2024-10-09,1.378,1.28,872.0,closed,-0.0711175616835992,-7.111756168359928,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-04,2025-09-02,4.777,4.035,1093.0,closed,-0.1553276114716348,-15.532761147163487,4.5,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159996,家电ETF,2021-03-04,2024-10-09,1.34,1.28,871.0,closed,-0.044776119402985,-4.477611940298509,1.424,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-05,2025-09-02,4.785,4.035,1092.0,closed,-0.1567398119122257,-15.673981191222577,4.5,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159902,中小板ETF,2021-03-08,2025-09-02,4.595,4.035,1091.0,closed,-0.1218715995647442,-12.187159956474424,4.5,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-16,2025-10-10,1.154,1.481,1107.0,closed,0.2833622183708841,28.336221837088416,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-17,2025-10-10,1.162,1.481,1106.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-18,2025-10-10,1.164,1.481,1105.0,closed,0.2723367697594503,27.23367697594503,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-19,2025-10-10,1.15,1.481,1104.0,closed,0.2878260869565219,28.78260869565219,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-22,2025-10-10,1.169,1.481,1103.0,closed,0.2668947818648417,26.689478186484173,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-23,2021-08-03,1.025,1.357,90.0,closed,0.3239024390243903,32.39024390243903,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-23,2025-10-10,1.15,1.481,1102.0,closed,0.2878260869565219,28.78260869565219,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-24,2021-08-03,0.982,1.357,89.0,closed,0.3818737270875763,38.18737270875763,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-24,2025-10-10,1.129,1.481,1101.0,closed,0.3117803365810452,31.17803365810452,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-26,2021-08-03,1.024,1.357,87.0,closed,0.3251953125,32.51953125,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-29,2021-08-03,1.021,1.357,86.0,closed,0.3290891283055828,32.90891283055828,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-03-29,2025-10-10,1.16,1.481,1098.0,closed,0.2767241379310345,27.672413793103456,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-30,2021-08-03,1.038,1.357,85.0,closed,0.3073217726396917,30.732177263969174,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-03-31,2021-08-03,1.01,1.357,84.0,closed,0.3435643564356436,34.35643564356437,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-01,2021-08-03,1.02,1.357,83.0,closed,0.330392156862745,33.0392156862745,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-02,2021-08-03,1.03,1.357,82.0,closed,0.3174757281553397,31.74757281553397,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-06,2021-08-03,1.033,1.357,81.0,closed,0.3136495643756052,31.36495643756052,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-07,2021-08-03,1.047,1.357,80.0,closed,0.2960840496657115,29.60840496657116,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-08,2021-08-03,1.061,1.357,79.0,closed,0.2789820923656927,27.898209236569272,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-09,2021-08-03,1.057,1.357,78.0,closed,0.283822138126774,28.382213812677403,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-04-12,2021-08-03,1.013,1.357,77.0,closed,0.3395853899308985,33.958538993089846,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-20,2025-10-10,1.164,1.481,1083.0,closed,0.2723367697594503,27.23367697594503,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-21,2025-10-10,1.159,1.481,1082.0,closed,0.2778257118205349,27.78257118205349,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-22,2025-10-10,1.162,1.481,1081.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-23,2025-10-10,1.162,1.481,1080.0,closed,0.2745266781411362,27.452667814113617,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512950,央企改革ETF,2021-04-26,2025-10-10,1.156,1.481,1079.0,closed,0.281141868512111,28.114186851211095,1.489,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-01,2025-08-04,1.568,1.388,1013.0,closed,-0.114795918367347,-11.479591836734704,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-02,2025-08-04,1.536,1.388,1012.0,closed,-0.0963541666666667,-9.635416666666677,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-03,2025-08-04,1.583,1.388,1011.0,closed,-0.1231838281743525,-12.31838281743526,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-04,2025-08-04,1.554,1.388,1010.0,closed,-0.1068211068211069,-10.68211068211069,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-07,2025-08-04,1.534,1.388,1009.0,closed,-0.0951760104302478,-9.51760104302478,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-08,2025-08-04,1.538,1.388,1008.0,closed,-0.0975292587776334,-9.75292587776334,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-09,2025-08-04,1.565,1.388,1007.0,closed,-0.1130990415335463,-11.309904153354632,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-10,2025-08-04,1.582,1.388,1006.0,closed,-0.1226295828065741,-12.26295828065741,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-11,2025-08-04,1.599,1.388,1005.0,closed,-0.1319574734208881,-13.195747342088817,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-15,2025-08-04,1.554,1.388,1004.0,closed,-0.1068211068211069,-10.68211068211069,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-22,2025-08-04,1.53,1.388,999.0,closed,-0.0928104575163399,-9.281045751633998,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-23,2025-08-04,1.541,1.388,998.0,closed,-0.099286177806619,-9.928617780661908,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-24,2025-08-04,1.545,1.388,997.0,closed,-0.1016181229773462,-10.16181229773463,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-25,2025-08-04,1.583,1.388,996.0,closed,-0.1231838281743525,-12.31838281743526,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-06-28,2025-08-04,1.568,1.388,995.0,closed,-0.114795918367347,-11.479591836734704,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),510880,红利ETF,2021-08-16,2021-09-02,2.892,3.194,13.0,closed,0.1044260027662518,10.44260027662518,3.3,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-11,2025-08-04,1.388,1.245,927.0,closed,-0.1030259365994235,-10.30259365994235,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-11,2025-08-04,1.847,1.388,927.0,closed,-0.2485110990795885,-24.851109907958858,1.18,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),159870,化工ETF,2021-10-12,2025-09-02,1.026,0.677,947.0,closed,-0.3401559454191033,-34.01559454191033,0.781,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),512400,有色金属ETF,2021-10-12,2025-08-04,1.346,1.245,926.0,closed,-0.0750371471025259,-7.503714710252596,1.79,,,2021,baseline_ma120_dca
2021,n120_exit60_years0_worst0,周KLON低位(120日5%),月K布林上轨触及 + 月KKD线(K-D)高位(60日15%),515210,钢铁ETF,2021-10-12,2025-08-04,1.772,1.388,926.0,closed,-0.216704288939052,-21.670428893905203,1.18,,,2021,baseline_ma120_dca
